Time[s]		AO0(Switch)	AO1(Sine)	AI2(Read)	AI3(Read)
        0.0000000000         3.0000000000         4.0000000000         1.3327346748         2.3271640490
        0.0050000000         3.0000000000         4.0000000000         1.3812288851         2.3424753138
        0.0100000000         3.0000000000         4.0000000000         1.4705603251         2.3450271912
        0.0150000000         3.0000000000         4.0000000000         1.5062929011         2.3628903334
        0.0200000000         3.0000000000         4.0000000000         1.5420254771         2.3756497207
        0.0250000000         3.0000000000         4.0000000000         1.5981766679         2.4088241277
        0.0300000000         3.0000000000         4.0000000000         1.6109383022         2.4241353924
        0.0350000000         3.0000000000         4.0000000000         1.6594325125         2.4649654318
        0.0400000000         3.0000000000         4.0000000000         1.6747464736         2.4879323289
        0.0450000000         3.0000000000         4.0000000000         1.6875081079         2.5262104908
        0.0500000000         3.0000000000         4.0000000000         1.7155837033         2.5670405302
        0.0550000000         3.0000000000         4.0000000000         1.7411069719         2.6053186920
        0.0600000000         3.0000000000         4.0000000000         1.7513162793         2.6512524863
        0.0650000000         3.0000000000         4.0000000000         1.7640779136         2.6946344031
        0.0700000000         3.0000000000         4.0000000000         1.7819442016         2.7303606875
        0.0750000000         3.0000000000         4.0000000000         1.7717348941         2.7660869720
        0.0800000000         3.0000000000         4.0000000000         1.7947058358         2.8222282761
        0.0850000000         3.0000000000         4.0000000000         1.8049151433         2.8707139478
        0.0900000000         3.0000000000         4.0000000000         1.7972581627         2.9038883547
        0.0950000000         3.0000000000         4.0000000000         1.8049151433         2.9549259039
        0.1000000000         3.0000000000         4.0000000000         1.8202291044         3.0110672080
        0.1050000000         3.0000000000         4.0000000000         1.8023628164         3.0518972474
        0.1100000000         3.0000000000         4.0000000000         1.8202291044         3.0978310416
        0.1150000000         3.0000000000         4.0000000000         1.8278860850         3.1488685908
        0.1200000000         3.0000000000         4.0000000000         1.8329907387         3.2024580174
        0.1250000000         3.0000000000         4.0000000000         1.8406477193         3.2509436892
        0.1300000000         3.0000000000         4.0000000000         1.8253337581         3.2917737285
        0.1350000000         3.0000000000         4.0000000000         1.8380953924         3.3504669101
        0.1400000000         3.0000000000         4.0000000000         1.8406477193         3.3938488269
        0.1450000000         3.0000000000         4.0000000000         1.8355430655         3.4474382535
        0.1500000000         3.0000000000         4.0000000000         1.8559616804         3.4984758027
        0.1550000000         3.0000000000         4.0000000000         1.8406477193         3.5495133519
        0.1600000000         3.0000000000         4.0000000000         1.8380953924         3.5954471461
        0.1650000000         3.0000000000         4.0000000000         1.8457523730         3.6490365728
        0.1700000000         3.0000000000         4.0000000000         1.8457523730         3.7026259994
        0.1750000000         3.0000000000         4.0000000000         1.8457523730         3.7485597937
        0.1800001000         3.0000000000         4.0000000000         1.8483046998         3.7995973429
        0.1850000000         3.0000000000         4.0000000000         1.8559616804         3.8531867695
        0.1900000000         3.0000000000         4.0000000000         1.8483046998         3.8991205638
        0.1950000000         3.0000000000         4.0000000000         1.8610663341         3.9629175002
        0.2000000000         3.0000000000         4.0000000000         1.8661709878         4.0165069269
        0.2050000000         3.0000000000         4.0000000000         1.8636186610         4.0649925986
        0.2100001000         3.0000000000         4.0000000000         1.8636186610         4.1058226379
        0.2150000000         3.0000000000         4.0000000000         1.8610663341         4.1619639420
        0.2200000000         3.0000000000         4.0000000000         1.8712756415         4.2206571236
        0.2250000000         3.0000000000         4.0000000000         1.8661709878         4.2665909178
        0.2300000000         3.0000000000         4.0000000000         1.8814849490         4.3329397318
        0.2350000000         3.0000000000         4.0000000000         1.8687233147         4.3839772810
        0.2400000000         3.0000000000         4.0000000000         1.8763802953         4.4375667076
        0.2450000000         3.0000000000         4.0000000000         1.8763802953         4.4962598892
        0.2500000000         3.0000000000         4.0000000000         1.8712756415         4.5498493158
        0.2550000000         3.0000000000         4.0000000000         1.8738279684         4.6008868650
        0.2600000000         3.0000000000         4.0000000000         1.8763802953         4.6570281691
        0.2650000000         3.0000000000         4.0000000000         1.8712756415         4.7106175957
        0.2700000000         3.0000000000         4.0000000000         1.8763802953         4.7642070224
        0.2750000000         3.0000000000         4.0000000000         1.8712756415         4.8254520814
        0.2800000000         3.0000000000         4.0000000000         1.8763802953         4.8841452629
        0.2850000000         3.0000000000         4.0000000000         1.8789326221         4.9326309346
        0.2900001000         3.0000000000         4.0000000000         1.8763802953         4.9964278711
        0.2950000000         3.0000000000         4.0000000000         1.8763802953         5.0168428908
        0.3000000000         3.0000000000         4.0000000000         1.8738279684         4.9989797486
        0.3050000000         3.0000000000         4.0000000000         1.8763802953         1.0997109912
        0.3100000000         3.0000000000         4.0000000000         1.8738279684         0.0049555613
        0.3150000000         3.0000000000         4.0000000000         1.8661709878        -0.0052519485
        0.3200000000         3.0000000000         4.0000000000         1.8840372758         0.0177149486
        0.3250000000         3.0000000000         4.0000000000         1.8738279684         0.0636487429
        0.3300000000         3.0000000000         4.0000000000         1.8814849490         0.1223419244
        0.3350000000         3.0000000000         4.0000000000         1.8814849490         0.1784832285
        0.3400000000         3.0000000000         4.0000000000         1.8865896027         0.2371764101
        0.3450000000         3.0000000000         4.0000000000         1.8738279684         0.2882139593
        0.3500001000         3.0000000000         4.0000000000         1.8763802953         0.3443552634
        0.3550001000         3.0000000000         4.0000000000         1.8865896027         0.4030484449
        0.3600000000         3.0000000000         4.0000000000         1.8712756415         0.4438784843
        0.3650000000         3.0000000000         4.0000000000         1.8738279684         0.5025716658
        0.3700000000         3.0000000000         4.0000000000         1.8865896027         0.5689204797
        0.3750000000         3.0000000000         4.0000000000         1.8865896027         0.6174061515
        0.3800000000         3.0000000000         4.0000000000         1.8789326221         0.6760993330
        0.3850000000         3.0000000000         4.0000000000         1.8789326221         0.7322406371
        0.3900000000         3.0000000000         4.0000000000         1.8712756415         0.7807263088
