% Bode Plot Result
% Sine amplitude = 0.45 V (Vcmd)
% Cycles/freq    : adaptive
% Input  : Vcmd [V]
% Output : Omega [rad/s]
Freq[Hz]             Gain[dB]             Phase[deg]
        0.1000000000        17.7768121641        -1.6009701517
        0.2000000000        17.7261187276        -5.5967600743
        0.3000000000        17.5912200111        -7.1587187492
        0.5000000000        17.2231908899        -9.5268376073
        0.7000000000        16.8307210643       -13.6594999070
        1.0000000000        16.4932627050       -18.1910663421
        2.0000000000        15.4844445534       -28.4117452879
        3.0000000000        14.5522196818       -35.9266845963
        5.0000000000        13.3307958080       -51.8032883577
        7.0000000000        11.3666561348       -67.2367695022
       10.0000000000         7.4607970321       -90.3409208137
       15.0000000000        -1.3441730488      -127.5497428652
