% f = 15.00 Hz  gain = 0.8566 (-1.34 dB)  phase = -127.55 deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.0292544227
        0.0050000000         0.2042957249         2.8244110660        -0.1622290711
        0.0100000000         0.3640576475         2.9086297912         0.1702075500
        0.0150000000         0.4444597533         2.9519535104         0.1702075500
        0.0200000000         0.4279754323         2.9430177178        -0.0292544227
        0.0250000000         0.3181980515         2.8842064975         0.0372329016
        0.0300000000         0.1390576475         2.7906968452         0.0372329016
        0.0350000000        -0.0703955093         2.2441114734         0.5026441712
        0.0400000000        -0.2645033635         2.1406650812         2.1648272768
        0.0450000000        -0.4009529359         2.0658527630         0.9680554407
        0.0500000000        -0.4500000000         2.0385101387         0.5026441712
        0.0550000000        -0.4009529359         2.0658527630        -0.0292544227
        0.0600000000        -0.2645033635         2.1406650812        -0.0292544227
        0.0650000000        -0.0703955093         2.2441114734        -0.1622290711
        0.0700000000         0.1390576475         2.7906968452        -1.3590009072
        0.0750000000         0.3181980515         2.8842064975        -1.3590009072
        0.0800000000         0.4279754323         2.9430177178        -0.3616910438
        0.0850000000         0.4444597533         2.9519535104         0.6356188196
        0.0900000000         0.3640576475         2.9086297912        -0.0292544227
        0.0950000000         0.2042957249         2.8244110660        -0.2287163953
        0.1000000000         0.0000000000         2.5000000000         0.2366948742
        0.1050000000        -0.2042957249         2.1731134099         0.1037202258
        0.1100000000        -0.3640576475         2.0862609917         0.9680554407
        0.1150000000        -0.4444597533         2.0416110468         0.6356188196
        0.1200000000        -0.4279754323         2.0508187278         0.3031821985
        0.1250000000        -0.3181980515         2.1114406643        -0.2952037196
        0.1300000000        -0.1390576475         2.2079014512         0.0372329016
        0.1350000000         0.0703955093         2.7556154521        -0.2952037196
        0.1400000000         0.2645033635         2.8558673735        -1.5584628799
        0.1450000000         0.4009529359         2.9284294187        -0.2287163953
        0.1500000000         0.4500000000         2.9549630443         0.5026441712
        0.1550000000         0.4009529359         2.9284294187         0.2366948742
        0.1600000000         0.2645033635         2.8558673735        -0.2952037196
        0.1650000000         0.0703955093         2.7556154521         0.0372329016
        0.1700000000        -0.1390576475         2.2079014512         0.1702075500
        0.1750000000        -0.3181980515         2.1114406643         1.1010300892
        0.1800000000        -0.4279754323         2.0508187278         0.4361568469
        0.1850000000        -0.4444597533         2.0416110468         0.0372329016
        0.1900000000        -0.3640576475         2.0862609917        -0.3616910438
        0.1950000000        -0.2042957249         2.1731134099         0.2366948742
        0.2000000000        -0.0000000000         2.5000000000         0.1037202258
        0.2050000000         0.2042957249         2.8244110660        -0.4281783680
        0.2100000000         0.3640576475         2.9086297912        -1.5584628799
        0.2150000000         0.4444597533         2.9519535104        -0.1622290711
        0.2200000000         0.4279754323         2.9430177178         0.5026441712
        0.2250000000         0.3181980515         2.8842064975         0.1702075500
        0.2300000000         0.1390576475         2.7906968452        -0.2287163953
        0.2350000000        -0.0703955093         2.2441114734         0.2366948742
        0.2400000000        -0.2645033635         2.1406650812        -0.0292544227
        0.2450000000        -0.4009529359         2.0658527630         0.5026441712
        0.2500000000        -0.4500000000         2.0385101387         0.0372329016
        0.2550000000        -0.4009529359         2.0658527630        -0.0292544227
        0.2600000000        -0.2645033635         2.1406650812        -0.0957417469
        0.2650000000        -0.0703955093         2.2441114734        -0.0292544227
        0.2700000000         0.1390576475         2.7906968452        -0.3616910438
        0.2750000000         0.3181980515         2.8842064975        -1.6249502041
        0.2800000000         0.4279754323         2.9430177178        -0.0957417469
        0.2850000000         0.4444597533         2.9519535104         0.6356188196
        0.2900000000         0.3640576475         2.9086297912         0.3031821985
        0.2950000000         0.2042957249         2.8244110660         0.1037202258
        0.3000000000         0.0000000000         2.5000000000         0.3031821985
        0.3050000000        -0.2042957249         2.1731134099         0.1037202258
        0.3100000000        -0.3640576475         2.0862609917         0.5691314954
        0.3150000000        -0.4444597533         2.0416110468         0.7021061438
        0.3200000000        -0.4279754323         2.0508187278         0.3031821985
        0.3250000000        -0.3181980515         2.1114406643        -0.0957417469
        0.3300000000        -0.1390576475         2.2079014512         0.0372329016
        0.3350000000         0.0703955093         2.7556154521        -0.0292544227
        0.3400000000         0.2645033635         2.8558673735        -1.0265642861
        0.3450000000         0.4009529359         2.9284294187        -0.6276403407
        0.3500000000         0.4500000000         2.9549630443         0.1702075500
        0.3550000000         0.4009529359         2.9284294187         0.2366948742
        0.3600000000         0.2645033635         2.8558673735        -0.1622290711
        0.3650000000         0.0703955093         2.7556154521         0.0372329016
        0.3700000000        -0.1390576475         2.2079014512         0.1702075500
        0.3750000000        -0.3181980515         2.1114406643         1.2340047376
        0.3800000000        -0.4279754323         2.0508187278         0.6356188196
        0.3850000000        -0.4444597533         2.0416110468        -0.2952037196
        0.3900000000        -0.3640576475         2.0862609917        -0.3616910438
        0.3950000000        -0.2042957249         2.1731134099         0.0372329016
        0.4000000000        -0.0000000000         2.5000000000        -0.2287163953
        0.4050000000         0.2042957249         2.8244110660        -0.8271023134
        0.4100000000         0.3640576475         2.9086297912        -1.3590009072
        0.4150000000         0.4444597533         2.9519535104         0.1037202258
        0.4200000000         0.4279754323         2.9430177178         0.5026441712
        0.4250000000         0.3181980515         2.8842064975         0.1037202258
        0.4300000000         0.1390576475         2.7906968452        -0.1622290711
        0.4350000000        -0.0703955093         2.2441114734         0.0372329016
        0.4400000000        -0.2645033635         2.1406650812         0.1702075500
        0.4450000000        -0.4009529359         2.0658527630         0.8350807923
        0.4500000000        -0.4500000000         2.0385101387         0.0372329016
        0.4550000000        -0.4009529359         2.0658527630        -0.2287163953
        0.4600000000        -0.2645033635         2.1406650812        -0.0957417469
        0.4650000000        -0.0703955093         2.2441114734        -0.0292544227
        0.4700000000         0.1390576475         2.7906968452        -0.2287163953
        0.4750000000         0.3181980515         2.8842064975        -1.7579248526
        0.4800000000         0.4279754323         2.9430177178         0.0372329016
        0.4850000000         0.4444597533         2.9519535104         0.3696695227
        0.4900000000         0.3640576475         2.9086297912         0.3696695227
        0.4950000000         0.2042957249         2.8244110660        -0.0957417469
        0.5000000000         0.0000000000         2.5000000000         0.1037202258
