% f = 2.0 Hz  gain = 7.0099 (16.91 dB)  phase = -30.53 deg
Time[s]              Vcmd[V]              Vc[V]                Omega[rad/s]
        0.0000000000         0.0000000000         2.5000000000        -0.1682129303
        0.0050000000         0.0627905195         2.7517546318         0.1642236908
        0.0100000000         0.1253332336         2.7836521078         0.1642236908
        0.0150000000         0.1873813146         2.8156334211        -0.0352382818
        0.0200000000         0.2486898872         2.8475730271        -0.0352382818
        0.0250000000         0.3090169944         2.8793414515         0.0977363666
        0.0300000000         0.3681245527         2.9108056324         0.1642236908
        0.0350000000         0.4257792916         2.9418293414        -0.1017256061
        0.0400000000         0.4817536741         2.9722736910         0.0977363666
        0.0450000000         0.5358267950         3.0019977367         2.0923560934
        0.0500000000         0.5877852523         3.0308591817         1.8928941207
        0.0550000000         0.6374239897         3.0587151888         1.6269448238
        0.0600000000         0.6845471059         3.0854233029         2.6907420115
        0.0650000000         0.7289686274         3.1108424843         2.6242546872
        0.0700000000         0.7705132428         3.1348342480         2.6242546872
        0.0750000000         0.8090169944         3.1572639000         3.2226406053
        0.0800000000         0.8443279255         3.1780018565         3.4221025779
        0.0850000000         0.8763066800         3.1969250269         3.3556152537
        0.0900000000         0.9048270525         3.2139182322         3.7545391991
        0.0950000000         0.9297764859         3.2288756300         3.7545391991
        0.1000000000         0.9510565163         3.2417021085         4.0869758202
        0.1050000000         0.9685831611         3.2523146097         3.9540011718
        0.1100000000         0.9822872507         3.2606433421         4.4858997656
        0.1150000000         0.9921147013         3.2666328401         4.4194124413
        0.1200000000         0.9980267284         3.2702428333         4.6853617383
        0.1250000000         1.0000000000         3.2714488936         4.9513110352
        0.1300000000         0.9980267284         3.2702428333         5.0842856836
        0.1350000000         0.9921147013         3.2666328401         4.8183363867
        0.1400000000         0.9822872507         3.2606433421         5.0177983594
        0.1450000000         0.9685831611         3.2523146097         5.2837476563
        0.1500000000         0.9510565163         3.2417021085         5.2172603321
        0.1550000000         0.9297764859         3.2288756300         5.4832096290
        0.1600000000         0.9048270525         3.2139182322         5.8156462501
        0.1650000000         0.8763066800         3.1969250269         5.4832096290
        0.1700000000         0.8443279255         3.1780018565         5.7491589259
        0.1750000000         0.8090169944         3.1572639000         5.7491589259
        0.1800000000         0.7705132428         3.1348342480         5.4832096290
        0.1850000000         0.7289686274         3.1108424843         5.5496969532
        0.1900000000         0.6845471059         3.0854233029         5.6161842774
        0.1950000000         0.6374239897         3.0587151888         5.6161842774
        0.2000000000         0.5877852523         3.0308591817         5.7491589259
        0.2050000000         0.5358267950         3.0019977367         5.5496969532
        0.2100000000         0.4817536741         2.9722736910         5.3502349805
        0.2150000000         0.4257792916         2.9418293414         5.2837476563
        0.2200000000         0.3681245527         2.9108056324         5.0842856836
        0.2250000000         0.3090169944         2.8793414515         5.0842856836
        0.2300000000         0.2486898872         2.8475730271         4.9513110352
        0.2350000000         0.1873813146         2.8156334211         4.4194124413
        0.2400000000         0.1253332336         2.7836521078         4.6188744140
        0.2450000000         0.0627905195         2.7517546318         4.3529251171
        0.2500000000         0.0000000000         2.5000000000         4.7518490625
        0.2550000000        -0.0627905195         2.2480971885         4.7518490625
        0.2600000000        -0.1253332336         2.2151719203         3.6215645506
        0.2650000000        -0.1873813146         2.1821695872         3.0896659568
        0.2700000000        -0.2486898872         2.1492200585         2.4247927145
        0.2750000000        -0.3090169944         2.1164571127         1.8264067965
        0.2800000000        -0.3681245527         2.0840180670         1.4274828511
        0.2850000000        -0.4257792916         2.0520433282         0.4301729877
        0.2900000000        -0.4817536741         2.0206758563        -0.8995734968
        0.2950000000        -0.5358267950         1.9900605320        -1.5644467391
        0.3000000000        -0.5877852523         1.9603434247        -1.1655227937
        0.3050000000        -0.6374239897         1.9316709524        -1.8303960360
        0.3100000000        -0.6845471059         1.9041889348        -2.4287819540
        0.3150000000        -0.7289686274         1.8780415382        -2.2293199813
        0.3200000000        -0.7705132428         1.8533701190        -3.0271678720
        0.3250000000        -0.8090169944         1.8303119743        -2.3622946298
        0.3300000000        -0.8443279255         1.8089990149        -3.4925791416
        0.3350000000        -0.8763066800         1.7895563810        -3.2266298447
        0.3400000000        -0.9048270525         1.7721010271        -3.4925791416
        0.3450000000        -0.9297764859         1.7567403054        -4.1574523839
        0.3500000000        -0.9510565163         1.7435705858        -3.9579904112
        0.3550000000        -0.9685831611         1.7326759472        -4.0244777354
        0.3600000000        -0.9822872507         1.7241269842        -4.4234016808
        0.3650000000        -0.9921147013         1.7179797644        -4.2904270323
        0.3700000000        -0.9980267284         1.7142749751        -4.6228636535
        0.3750000000        -1.0000000000         1.7130372892        -4.7558383019
        0.3800000000        -0.9980267284         1.7142749751        -5.0882749231
        0.3850000000        -0.9921147013         1.7179797644        -5.0882749231
        0.3900000000        -0.9822872507         1.7241269842        -4.9553002746
        0.3950000000        -0.9685831611         1.7326759472        -5.2877368957
        0.4000000000        -0.9510565163         1.7435705858        -4.6893509777
        0.4050000000        -0.9297764859         1.7567403054        -5.4871988684
        0.4100000000        -0.9048270525         1.7721010271        -5.4207115442
        0.4150000000        -0.8763066800         1.7895563810        -5.4871988684
        0.4200000000        -0.8443279255         1.8089990149        -5.0217875988
        0.4250000000        -0.8090169944         1.8303119743        -5.6866608411
        0.4300000000        -0.7705132428         1.8533701190        -5.0217875988
        0.4350000000        -0.7289686274         1.8780415382        -5.6201735169
        0.4400000000        -0.6845471059         1.9041889348        -5.0882749231
        0.4450000000        -0.6374239897         1.9316709524        -5.2877368957
        0.4500000000        -0.5877852523         1.9603434247        -5.0882749231
        0.4550000000        -0.5358267950         1.9900605320        -4.9553002746
        0.4600000000        -0.4817536741         2.0206758563        -5.3542242200
        0.4650000000        -0.4257792916         2.0520433282        -5.0882749231
        0.4700000000        -0.3681245527         2.0840180670        -4.6228636535
        0.4750000000        -0.3090169944         2.1164571127        -4.8223256262
        0.4800000000        -0.2486898872         2.1492200585        -4.8223256262
        0.4850000000        -0.1873813146         2.1821695872        -4.5563763293
        0.4900000000        -0.1253332336         2.2151719203        -4.8223256262
        0.4950000000        -0.0627905195         2.2480971885        -4.2239397081
        0.5000000000        -0.0000000000         2.5000000000        -4.2239397081
        0.5050000000         0.0627905195         2.7517546318        -3.5590664659
        0.5100000000         0.1253332336         2.7836521078        -3.6920411143
        0.5150000000         0.1873813146         2.8156334211        -2.7612185751
        0.5200000000         0.2486898872         2.8475730271        -2.0963453329
        0.5250000000         0.3090169944         2.8793414515        -1.1655227937
        0.5300000000         0.3681245527         2.9108056324        -0.5671368757
        0.5350000000         0.4257792916         2.9418293414         0.3636856635
        0.5400000000         0.4817536741         2.9722736910         0.0312490424
        0.5450000000         0.5358267950         3.0019977367         0.0312490424
        0.5500000000         0.5877852523         3.0308591817         2.1588434176
        0.5550000000         0.6374239897         3.0587151888         1.8264067965
        0.5600000000         0.6845471059         3.0854233029         1.5604574996
        0.5650000000         0.7289686274         3.1108424843         2.5577673630
        0.5700000000         0.7705132428         3.1348342480         2.4912800388
        0.5750000000         0.8090169944         3.1572639000         2.4912800388
        0.5800000000         0.8443279255         3.1780018565         3.3556152537
        0.5850000000         0.8763066800         3.1969250269         3.0896659568
        0.5900000000         0.9048270525         3.2139182322         3.6215645506
        0.5950000000         0.9297764859         3.2288756300         3.6880518749
        0.6000000000         0.9510565163         3.2417021085         3.9540011718
        0.6050000000         0.9685831611         3.2523146097         4.1534631444
        0.6100000000         0.9822872507         3.2606433421         3.9540011718
        0.6150000000         0.9921147013         3.2666328401         4.3529251171
        0.6200000000         0.9980267284         3.2702428333         4.5523870898
        0.6250000000         1.0000000000         3.2714488936         4.9513110352
        0.6300000000         0.9980267284         3.2702428333         4.9513110352
        0.6350000000         0.9921147013         3.2666328401         4.9513110352
        0.6400000000         0.9822872507         3.2606433421         5.0177983594
        0.6450000000         0.9685831611         3.2523146097         5.0177983594
        0.6500000000         0.9510565163         3.2417021085         5.2172603321
        0.6550000000         0.9297764859         3.2288756300         5.5496969532
        0.6600000000         0.9048270525         3.2139182322         5.2172603321
        0.6650000000         0.8763066800         3.1969250269         5.5496969532
        0.6700000000         0.8443279255         3.1780018565         5.5496969532
        0.6750000000         0.8090169944         3.1572639000         5.5496969532
        0.6800000000         0.7705132428         3.1348342480         5.2837476563
        0.6850000000         0.7289686274         3.1108424843         5.5496969532
        0.6900000000         0.6845471059         3.0854233029         5.9486208986
        0.6950000000         0.6374239897         3.0587151888         5.7491589259
        0.7000000000         0.5877852523         3.0308591817         5.3502349805
        0.7050000000         0.5358267950         3.0019977367         5.3502349805
        0.7100000000         0.4817536741         2.9722736910         5.4832096290
        0.7150000000         0.4257792916         2.9418293414         5.2172603321
        0.7200000000         0.3681245527         2.9108056324         5.0177983594
        0.7250000000         0.3090169944         2.8793414515         4.9513110352
        0.7300000000         0.2486898872         2.8475730271         4.7518490625
        0.7350000000         0.1873813146         2.8156334211         4.6188744140
        0.7400000000         0.1253332336         2.7836521078         4.4858997656
        0.7450000000         0.0627905195         2.7517546318         4.4858997656
        0.7500000000         0.0000000000         2.5000000000         4.1534631444
        0.7550000000        -0.0627905195         2.2480971885         3.8210265233
        0.7600000000        -0.1253332336         2.2151719203         3.5550772264
        0.7650000000        -0.1873813146         2.1821695872         2.8902039841
        0.7700000000        -0.2486898872         2.1492200585         2.5577673630
        0.7750000000        -0.3090169944         2.1164571127         1.8264067965
        0.7800000000        -0.3681245527         2.0840180670         0.8955842573
        0.7850000000        -0.4257792916         2.0520433282         0.2971983393
        0.7900000000        -0.4817536741         2.0206758563        -0.8995734968
        0.7950000000        -0.5358267950         1.9900605320        -1.4314720906
        0.8000000000        -0.5877852523         1.9603434247        -1.2984974421
        0.8050000000        -0.6374239897         1.9316709524        -1.9633706844
        0.8100000000        -0.6845471059         1.9041889348        -2.0963453329
        0.8150000000        -0.7289686274         1.8780415382        -2.4287819540
        0.8200000000        -0.7705132428         1.8533701190        -2.4952692782
        0.8250000000        -0.8090169944         1.8303119743        -2.7612185751
        0.8300000000        -0.8443279255         1.8089990149        -2.9606805478
        0.8350000000        -0.8763066800         1.7895563810        -3.7585284385
        0.8400000000        -0.9048270525         1.7721010271        -3.4925791416
        0.8450000000        -0.9297764859         1.7567403054        -3.7585284385
        0.8500000000        -0.9510565163         1.7435705858        -4.2239397081
        0.8550000000        -0.9685831611         1.7326759472        -4.0244777354
        0.8600000000        -0.9822872507         1.7241269842        -4.1574523839
        0.8650000000        -0.9921147013         1.7179797644        -4.1574523839
        0.8700000000        -0.9980267284         1.7142749751        -4.4234016808
        0.8750000000        -1.0000000000         1.7130372892        -5.0882749231
        0.8800000000        -0.9980267284         1.7142749751        -4.6228636535
        0.8850000000        -0.9921147013         1.7179797644        -5.0882749231
        0.8900000000        -0.9822872507         1.7241269842        -5.0882749231
        0.8950000000        -0.9685831611         1.7326759472        -5.2212495715
        0.9000000000        -0.9510565163         1.7435705858        -5.1547622473
        0.9050000000        -0.9297764859         1.7567403054        -4.9553002746
        0.9100000000        -0.9048270525         1.7721010271        -5.4871988684
        0.9150000000        -0.8763066800         1.7895563810        -4.8223256262
        0.9200000000        -0.8443279255         1.8089990149        -5.2877368957
        0.9250000000        -0.8090169944         1.8303119743        -5.2212495715
        0.9300000000        -0.7705132428         1.8533701190        -5.5536861927
        0.9350000000        -0.7289686274         1.8780415382        -5.4207115442
        0.9400000000        -0.6845471059         1.9041889348        -5.4871988684
        0.9450000000        -0.6374239897         1.9316709524        -5.3542242200
        0.9500000000        -0.5877852523         1.9603434247        -5.2877368957
        0.9550000000        -0.5358267950         1.9900605320        -4.9553002746
        0.9600000000        -0.4817536741         2.0206758563        -4.6893509777
        0.9650000000        -0.4257792916         2.0520433282        -5.2212495715
        0.9700000000        -0.3681245527         2.0840180670        -4.5563763293
        0.9750000000        -0.3090169944         2.1164571127        -4.8888129504
        0.9800000000        -0.2486898872         2.1492200585        -4.6893509777
        0.9850000000        -0.1873813146         2.1821695872        -4.5563763293
        0.9900000000        -0.1253332336         2.2151719203        -4.4898890050
        0.9950000000        -0.0627905195         2.2480971885        -4.3569143566
        1.0000000000        -0.0000000000         2.5000000000        -4.0244777354
        1.0050000000         0.0627905195         2.7517546318        -4.2904270323
        1.0100000000         0.1253332336         2.7836521078        -3.2931171689
        1.0150000000         0.1873813146         2.8156334211        -2.6947312509
        1.0200000000         0.2486898872         2.8475730271        -2.0963453329
        1.0250000000         0.3090169944         2.8793414515        -1.4314720906
        1.0300000000         0.3681245527         2.9108056324        -0.4341622272
        1.0350000000         0.4257792916         2.9418293414         0.2971983393
        1.0400000000         0.4817536741         2.9722736910         0.0312490424
        1.0450000000         0.5358267950         3.0019977367        -0.1682129303
        1.0500000000         0.5877852523         3.0308591817         1.9593814450
        1.0550000000         0.6374239897         3.0587151888         2.0258687692
        1.0600000000         0.6845471059         3.0854233029         1.6934321481
        1.0650000000         0.7289686274         3.1108424843         2.6242546872
        1.0700000000         0.7705132428         3.1348342480         2.6242546872
        1.0750000000         0.8090169944         3.1572639000         2.7572293357
        1.0800000000         0.8443279255         3.1780018565         3.0896659568
        1.0850000000         0.8763066800         3.1969250269         3.0231786326
        1.0900000000         0.9048270525         3.2139182322         3.4221025779
        1.0950000000         0.9297764859         3.2288756300         4.0869758202
        1.1000000000         0.9510565163         3.2417021085         3.8210265233
        1.1050000000         0.9685831611         3.2523146097         4.0204884960
        1.1100000000         0.9822872507         3.2606433421         4.2199504687
        1.1150000000         0.9921147013         3.2666328401         4.2199504687
        1.1200000000         0.9980267284         3.2702428333         4.9513110352
        1.1250000000         1.0000000000         3.2714488936         4.7518490625
        1.1300000000         0.9980267284         3.2702428333         4.8183363867
        1.1350000000         0.9921147013         3.2666328401         5.0842856836
        1.1400000000         0.9822872507         3.2606433421         5.2837476563
        1.1450000000         0.9685831611         3.2523146097         5.4167223047
        1.1500000000         0.9510565163         3.2417021085         5.5496969532
        1.1550000000         0.9297764859         3.2288756300         5.4832096290
        1.1600000000         0.9048270525         3.2139182322         5.5496969532
        1.1650000000         0.8763066800         3.1969250269         5.6826716017
        1.1700000000         0.8443279255         3.1780018565         5.6826716017
        1.1750000000         0.8090169944         3.1572639000         5.4832096290
        1.1800000000         0.7705132428         3.1348342480         5.8156462501
        1.1850000000         0.7289686274         3.1108424843         5.6826716017
        1.1900000000         0.6845471059         3.0854233029         5.4832096290
        1.1950000000         0.6374239897         3.0587151888         5.5496969532
        1.2000000000         0.5877852523         3.0308591817         5.7491589259
        1.2050000000         0.5358267950         3.0019977367         5.4832096290
        1.2100000000         0.4817536741         2.9722736910         5.2172603321
        1.2150000000         0.4257792916         2.9418293414         5.1507730078
        1.2200000000         0.3681245527         2.9108056324         5.1507730078
        1.2250000000         0.3090169944         2.8793414515         4.7518490625
        1.2300000000         0.2486898872         2.8475730271         4.8848237109
        1.2350000000         0.1873813146         2.8156334211         4.6188744140
        1.2400000000         0.1253332336         2.7836521078         4.6853617383
        1.2450000000         0.0627905195         2.7517546318         4.2199504687
        1.2500000000         0.0000000000         2.5000000000         4.4858997656
        1.2550000000        -0.0627905195         2.2480971885         4.0869758202
        1.2600000000        -0.1253332336         2.2151719203         3.5550772264
        1.2650000000        -0.1873813146         2.1821695872         2.8237166599
        1.2700000000        -0.2486898872         2.1492200585         2.0258687692
        1.2750000000        -0.3090169944         2.1164571127         1.6269448238
