% Sweep Step 50/200  Vcmd=2.2500V  CCW
% Vg_offset=1.338056V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0004247000         2.2500000000         1.3378393285         0.2652470621        -0.0056514226
        0.0054617000         2.2500000000         1.3327346748         0.2575914298        -0.1386260710
        0.0104999000         2.2500000000         1.3352870017         0.2626951847        -0.0721387468
        0.0154500000         2.2500000000         1.3454963091         0.2703508170         0.1938105501
        0.0207952000         2.2500000000         1.3429439823         0.2703508170         0.1273232259
        0.0254476000         2.2500000000         1.3454963091         0.2703508170         0.1938105501
        0.0306487000         2.2500000000         1.3403916554         0.2626951847         0.0608359017
        0.0356591000         2.2500000000         1.3429439823         0.2677989396         0.1273232259
        0.0408449000         2.2500000000         1.3276300211         0.2601433072        -0.2716007195
        0.0456955000         2.2500000000         1.2995544257         0.2601433072        -1.0029612860
        0.0506695000         2.2500000000         1.2893451183         0.2499357974        -1.2689105829
        0.0556979000         2.2500000000         1.2970020988         0.2473839199        -1.0694486102
        0.0606843000         2.2500000000         1.3097637331         0.2499357974        -0.7370119891
        0.0656618000         2.2500000000         1.2995544257         0.2499357974        -1.0029612860
        0.0707420000         2.2500000000         1.3021067526         0.2448320425        -0.9364739617
        0.0756173000         2.2500000000         1.2995544257         0.2371764101        -1.0029612860
        0.0806725000         2.2500000000         1.2918974451         0.2295207777        -1.2024232586
        0.0857567000         2.2500000000         1.3021067526         0.2371764101        -0.9364739617
        0.0905461000         2.2500000000         1.2944497720         0.2218651453        -1.1359359344
        0.0957017000         2.2500000000         1.3072114063         0.2269689002        -0.8034993133
        0.1005356000         2.2500000000         1.3021067526         0.2269689002        -0.9364739617
        0.1055877000         2.2500000000         1.2995544257         0.2091057580        -1.0029612860
        0.1104311000         2.2500000000         1.2944497720         0.2040020031        -1.1359359344
        0.1154129000         2.2500000000         1.2995544257         0.2065538806        -1.0029612860
        0.1204688000         2.2500000000         1.2944497720         0.1988982482        -1.1359359344
        0.1256560000         2.2500000000         1.2995544257         0.1963463707        -1.0029612860
        0.1306637000         2.2500000000         1.3072114063         0.2014501257        -0.8034993133
        0.1355047000         2.2500000000         1.3072114063         0.2014501257        -0.8034993133
        0.1406853000         2.2500000000         1.3021067526         0.1886907384        -0.9364739617
        0.1455006000         2.2500000000         1.3021067526         0.1835869834        -0.9364739617
        0.1505007000         2.2500000000         1.2995544257         0.1733794736        -1.0029612860
        0.1556613000         2.2500000000         1.2970020988         0.1733794736        -1.0694486102
        0.1605308000         2.2500000000         1.3097637331         0.1810351060        -0.7370119891
        0.1655499000         2.2500000000         1.2995544257         0.1708275961        -1.0029612860
        0.1705435000         2.2500000000         1.3148683868         0.1733794736        -0.6040373406
        0.1756598000         2.2500000000         1.3021067526         0.1631719638        -0.9364739617
        0.1805047000         2.2500000000         1.2995544257         0.1555163314        -1.0029612860
        0.1855171000         2.2500000000         1.3403916554         0.1631719638         0.0608359017
        0.1905327000         2.2500000000         1.3046590794         0.1555163314        -0.8699866375
        0.1954899000         2.2500000000         1.2995544257         0.1453088216        -1.0029612860
        0.2006227000         2.2500000000         1.3046590794         0.1478606990        -0.8699866375
        0.2055069000         2.2500000000         1.3046590794         0.1427569441        -0.8699866375
        0.2104396000         2.2500000000         1.3046590794         0.1402050666        -0.8699866375
        0.2154560000         2.2500000000         1.3123160600         0.1453088216        -0.6705246648
        0.2204328000         2.2500000000         1.3327346748         0.1376531892        -0.1386260710
        0.2254277000         2.2500000000         1.3046590794         0.1325494343        -0.8699866375
        0.2304270000         2.2500000000         1.2995544257         0.1248938019        -1.0029612860
        0.2354845000         2.2500000000         1.3046590794         0.1274456793        -0.8699866375
        0.2404813000         2.2500000000         1.3123160600         0.1274456793        -0.6705246648
        0.2454712000         2.2500000000         1.3021067526         0.1172381695        -0.9364739617
        0.2504008000         2.2500000000         1.3046590794         0.1070306597        -0.8699866375
        0.2554942000         2.2500000000         1.3072114063         0.1121344146        -0.8034993133
        0.2604536000         2.2500000000         1.3046590794         0.1095825371        -0.8699866375
        0.2654388000         2.2500000000         1.2995544257         0.1019269048        -1.0029612860
        0.2705675000         2.2500000000         1.2995544257         0.0968231498        -1.0029612860
        0.2754773000         2.2500000000         1.3097637331         0.0942712724        -0.7370119891
        0.2804302000         2.2500000000         1.3072114063         0.1019269048        -0.8034993133
        0.2855013000         2.2500000000         1.3072114063         0.0993750273        -0.8034993133
        0.2905106000         2.2500000000         1.3225253674         0.0917193949        -0.4045753679
