% Motor Sweep Step 75/180
% Vcmd       = 2.8800 [V]
% Direction  = CW
% Zone       = DEADZONE
% Vg_offset  = 1.336155 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000164000         2.8800000000         1.3327346748         3.0518972474        -0.0890930145
        0.0050144000         2.8800000000         1.3327346748         3.0442416150        -0.0890930145
        0.0100052000         2.8800000000         1.3301823480         3.0391378601        -0.1555803387
        0.0150095000         2.8800000000         1.3301823480         3.0467934924        -0.1555803387
        0.0200049000         2.8800000000         1.3327346748         3.0493453699        -0.0890930145
        0.0250083000         2.8800000000         1.3480486360         3.0570010023         0.3098309309
        0.0300091000         2.8800000000         1.3378393285         3.0442416150         0.0438816340
        0.0350080000         2.8800000000         1.4144091342         3.0493453699         2.0385013608
        0.0402266000         2.8800000000         1.3914381925         3.0570010023         1.4401154427
        0.0450069000         2.8800000000         1.3735719045         3.0646566347         0.9747041732
        0.0500079000         2.8800000000         1.4144091342         3.0774160220         2.0385013608
        0.0550071000         2.8800000000         1.4067521537         3.0825197769         1.8390393881
        0.1036373000         2.8800000000         1.4118568074         3.1514204683         1.9720140366
        0.1267654000         2.8800000000         1.4271707685         3.1999061400         2.3709379819
        0.1277960000         2.8800000000         1.4144091342         3.1871467527         2.0385013608
        0.1286817000         2.8800000000         1.4195137880         3.1973542625         2.1714760092
        0.1293160000         2.8800000000         1.4144091342         3.1922505076         2.0385013608
        0.1303776000         2.8800000000         1.4041998268         3.1948023851         1.7725520639
        0.1312472000         2.8800000000         1.4220661148         3.2024580174         2.2379633335
        0.1323531000         2.8800000000         1.4246184417         3.2024580174         2.3044506577
        0.1331217000         2.8800000000         1.4271707685         3.2024580174         2.3709379819
        0.1341785000         2.8800000000         1.4297230954         3.2075617724         2.4374253062
        0.1349665000         2.8800000000         1.4348277491         3.2152174047         2.5703999546
        0.1358593000         2.8800000000         1.4297230954         3.2101136498         2.4374253062
        0.1368207000         2.8800000000         1.4271707685         3.2126655273         2.3709379819
        0.1376471000         2.8800000000         1.4271707685         3.2101136498         2.3709379819
        0.1384853000         2.8800000000         1.4169614611         3.2075617724         2.1049886850
        0.1391492000         2.8800000000         1.4220661148         3.2152174047         2.2379633335
        0.1400286000         2.8800000000         1.4195137880         3.2177692822         2.1714760092
        0.1450084000         2.8800000000         1.4144091342         3.2254249146         2.0385013608
        0.1500505000         2.8800000000         1.4271707685         3.2356324244         2.3709379819
        0.1550092000         2.8800000000         1.4220661148         3.2432880568         2.2379633335
        0.1600080000         2.8800000000         1.4220661148         3.2534955666         2.2379633335
        0.1650060000         2.8800000000         1.4220661148         3.2611511990         2.2379633335
        0.1700079000         2.8800000000         1.4297230954         3.2713587088         2.4374253062
        0.1750074000         2.8800000000         1.4297230954         3.2790143412         2.4374253062
        0.1800099000         2.8800000000         1.4322754222         3.2917737285         2.5039126304
        0.1850097000         2.8800000000         1.4271707685         3.3019812383         2.3709379819
        0.1900097000         2.8800000000         1.4220661148         3.2994293609         2.2379633335
        0.1950071000         2.8800000000         1.4373800759         3.3223962580         2.6368872788
        0.2000112000         2.8800000000         1.4246184417         3.3249481355         2.3044506577
        0.2050125000         2.8800000000         1.4246184417         3.3275000129         2.3044506577
        0.2100092000         2.8800000000         1.4246184417         3.3377075228         2.3044506577
        0.2150081000         2.8800000000         1.4322754222         3.3581225424         2.5039126304
        0.2201529000         2.8800000000         1.4348277491         3.3632262974         2.5703999546
        0.2250066000         2.8800000000         1.4271707685         3.3708819297         2.3709379819
        0.2300546000         2.8800000000         1.4297230954         3.3785375621         2.4374253062
        0.2351510000         2.8800000000         1.4220661148         3.3836413170         2.2379633335
        0.2400075000         2.8800000000         1.4322754222         3.3989525818         2.5039126304
        0.2450040000         2.8800000000         1.4271707685         3.4066082142         2.3709379819
        0.2500032000         2.8800000000         1.4246184417         3.4091600916         2.3044506577
