% Motor Sweep Step 90/180
% Vcmd       = 2.0500 [V]
% Direction  = CCW
% Zone       = DEADZONE
% Vg_offset  = 1.336155 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000141000         2.0500000000         1.3429439823         4.7973814293         0.1768562824
        0.0050080000         2.0500000000         1.3352870017         4.7897257969        -0.0226056902
        0.0100050000         2.0500000000         1.3352870017         4.7922776744        -0.0226056902
        0.0150079000         2.0500000000         1.3301823480         4.7871739195        -0.1555803387
        0.0202747000         2.0500000000         1.3429439823         4.7871739195         0.1768562824
        0.0250069000         2.0500000000         1.3327346748         4.7922776744        -0.0890930145
        0.0300289000         2.0500000000         1.2255369469         4.7820701646        -2.8815606320
        0.0350068000         2.0500000000         1.2434032349         4.7667588998        -2.4161493624
        0.0400048000         2.0500000000         1.2816881377         4.7667588998        -1.4188394990
        0.0450072000         2.0500000000         1.2612695229         4.7642070224        -1.9507380928
        0.0500081000         2.0500000000         1.2306416006         4.7463438801        -2.7485859835
        0.0550067000         2.0500000000         1.2561648691         4.7412401252        -2.0837127413
        0.0600041000         2.0500000000         1.2434032349         4.7310326154        -2.4161493624
        0.0650074000         2.0500000000         1.2434032349         4.7233769830        -2.4161493624
        0.0700065000         2.0500000000         1.2382985811         4.6978582084        -2.5491240109
        0.0750064000         2.0500000000         1.2255369469         4.6953063310        -2.8815606320
        0.0800048000         2.0500000000         1.2434032349         4.6953063310        -2.4161493624
        0.0850067000         2.0500000000         1.2382985811         4.6825469437        -2.5491240109
        0.0900064000         2.0500000000         1.2280892737         4.6697875564        -2.8150733078
        0.0950065000         2.0500000000         1.2229846200         4.6519244142        -2.9480479562
        0.1000361000         2.0500000000         1.2331939274         4.6519244142        -2.6820986593
        0.1050067000         2.0500000000         1.2357462543         4.6366131494        -2.6156113351
        0.1100043000         2.0500000000         1.2204322931         4.6161981297        -3.0145352804
        0.1150056000         2.0500000000         1.2178799663         4.6059906199        -3.0810226047
        0.1200073000         2.0500000000         1.2229846200         4.6034387424        -2.9480479562
        0.1250063000         2.0500000000         1.2204322931         4.5932312326        -3.0145352804
        0.1300060000         2.0500000000         1.2204322931         4.5804718453        -3.0145352804
        0.1350052000         2.0500000000         1.2255369469         4.5702643355        -2.8815606320
        0.1400028000         2.0500000000         1.2178799663         4.5575049482        -3.0810226047
        0.1450066000         2.0500000000         1.2204322931         4.5396418060        -3.0145352804
        0.1500047000         2.0500000000         1.2153276394         4.5294342961        -3.1475099289
        0.1550072000         2.0500000000         1.2255369469         4.5217786637        -2.8815606320
        0.1600420000         2.0500000000         1.2153276394         4.5039155215        -3.1475099289
        0.1650270000         2.0500000000         1.2204322931         4.4962598892        -3.0145352804
        0.1700109000         2.0500000000         1.2229846200         4.4809486244        -2.9480479562
        0.1750058000         2.0500000000         1.2153276394         4.4681892371        -3.1475099289
        0.1800056000         2.0500000000         1.2127753126         4.4554298498        -3.2139972531
        0.1850108000         2.0500000000         1.2204322931         4.4426704625        -3.0145352804
        0.1900113000         2.0500000000         1.2178799663         4.4375667076        -3.0810226047
        0.1950070000         2.0500000000         1.2102229857         4.4145998105        -3.2804845773
        0.2001557000         2.0500000000         1.2102229857         4.4069441781        -3.2804845773
        0.2050040000         2.0500000000         1.2127753126         4.3941847908        -3.2139972531
        0.2100053000         2.0500000000         1.2127753126         4.3839772810        -3.2139972531
        0.2150054000         2.0500000000         1.2051183320         4.3686660162        -3.4134592258
        0.2200060000         2.0500000000         1.2178799663         4.3584585064        -3.0810226047
        0.2250061000         2.0500000000         1.2025660052         4.3354916092        -3.4799465500
        0.2300056000         2.0500000000         1.2178799663         4.3354916092        -3.0810226047
        0.2350058000         2.0500000000         1.2127753126         4.3176284670        -3.2139972531
        0.2400067000         2.0500000000         1.2127753126         4.3074209572        -3.2139972531
        0.2450038000         2.0500000000         1.2102229857         4.2946615699        -3.2804845773
        0.2500048000         2.0500000000         1.2153276394         4.2895578150        -3.1475099289
        0.2550035000         2.0500000000         1.2127753126         4.2691427953        -3.2139972531
        0.2600057000         2.0500000000         1.2102229857         4.2563834080        -3.2804845773
        0.2650050000         2.0500000000         1.2000136783         4.2385202658        -3.5464338743
        0.2700054000         2.0500000000         1.2025660052         4.2206571236        -3.4799465500
        0.2750080000         2.0500000000         1.2229846200         4.2232090010        -2.9480479562
        0.2800066000         2.0500000000         1.2102229857         4.2104496138        -3.2804845773
        0.2850069000         2.0500000000         1.2076706589         4.1874827166        -3.3469719016
        0.2900061000         2.0500000000         1.2076706589         4.1798270842        -3.3469719016
        0.2950036000         2.0500000000         1.2051183320         4.1696195744        -3.4134592258
        0.3000061000         2.0500000000         1.2153276394         4.1594120646        -3.1475099289
        0.3050073000         2.0500000000         1.2051183320         4.1338932900        -3.4134592258
        0.3100067000         2.0500000000         1.2051183320         4.1287895351        -3.4134592258
        0.3150040000         2.0500000000         1.2127753126         4.1160301478        -3.2139972531
        0.3200061000         2.0500000000         1.2127753126         4.1007188830        -3.2139972531
        0.3250046000         2.0500000000         1.2204322931         4.0981670056        -3.0145352804
        0.3300062000         2.0500000000         1.2025660052         4.0752001084        -3.4799465500
        0.3350038000         2.0500000000         1.2178799663         4.0675444760        -3.0810226047
        0.3400066000         2.0500000000         1.1872520440         4.0598888437        -3.8788704954
        0.3450061000         2.0500000000         1.2178799663         4.0522332113        -3.0810226047
        0.3500058000         2.0500000000         1.2127753126         4.0318181916        -3.2139972531
        0.3550038000         2.0500000000         1.2102229857         4.0190588043        -3.2804845773
        0.3600052000         2.0500000000         1.2178799663         4.0114031719        -3.0810226047
        0.3650074000         2.0500000000         1.2051183320         3.9884362748        -3.4134592258
        0.3700072000         2.0500000000         1.2178799663         3.9833325199        -3.0810226047
        0.3750081000         2.0500000000         1.2178799663         3.9756768875        -3.0810226047
        0.3800082000         2.0500000000         1.2102229857         3.9552618679        -3.2804845773
        0.3850071000         2.0500000000         1.2102229857         3.9373987256        -3.2804845773
        0.3900072000         2.0500000000         1.2000136783         3.9246393383        -3.5464338743
        0.3950042000         2.0500000000         1.2204322931         3.9246393383        -3.0145352804
        0.4000067000         2.0500000000         1.2178799663         3.9144318285        -3.0810226047
        0.4050036000         2.0500000000         1.2025660052         3.8914649314        -3.4799465500
        0.4100067000         2.0500000000         1.2127753126         3.8838092990        -3.2139972531
        0.4150044000         2.0500000000         1.2102229857         3.8710499117        -3.2804845773
        0.4200066000         2.0500000000         1.2127753126         3.8633942793        -3.2139972531
        0.4250046000         2.0500000000         1.2102229857         3.8506348920        -3.2804845773
        0.4300062000         2.0500000000         1.2127753126         3.8327717498        -3.2139972531
        0.4350041000         2.0500000000         1.2076706589         3.8200123625        -3.3469719016
        0.4400059000         2.0500000000         1.2127753126         3.8123567301        -3.2139972531
        0.4450045000         2.0500000000         1.2127753126         3.7995973429        -3.2139972531
        0.4500047000         2.0500000000         1.2102229857         3.7791823232        -3.2804845773
        0.4550039000         2.0500000000         1.2102229857         3.7715266908        -3.2804845773
        0.4600046000         2.0500000000         1.2076706589         3.7536635486        -3.3469719016
        0.4650029000         2.0500000000         1.2102229857         3.7409041613        -3.2804845773
        0.4700046000         2.0500000000         1.2076706589         3.7358004064        -3.3469719016
        0.4750035000         2.0500000000         1.2102229857         3.7230410191        -3.2804845773
        0.4800048000         2.0500000000         1.2153276394         3.6975222445        -3.1475099289
        0.4850046000         2.0500000000         1.1974613514         3.6898666121        -3.6129211985
        0.4900047000         2.0500000000         1.2051183320         3.6771072248        -3.4134592258
        0.4950039000         2.0500000000         1.2102229857         3.6617959601        -3.2804845773
        0.5000054000         2.0500000000         1.2000136783         3.6490365728        -3.5464338743
        0.5050201000         2.0500000000         1.2076706589         3.6413809404        -3.3469719016
        0.5100055000         2.0500000000         1.2153276394         3.6235177982        -3.1475099289
        0.5150041000         2.0500000000         1.1974613514         3.6158621658        -3.6129211985
        0.5200054000         2.0500000000         1.2127753126         3.6031027785        -3.2139972531
        0.5250033000         2.0500000000         1.2102229857         3.5852396363        -3.2804845773
        0.5300049000         2.0500000000         1.1974613514         3.5648246166        -3.6129211985
        0.5350135000         2.0500000000         1.2000136783         3.5597208617        -3.5464338743
        0.5400098000         2.0500000000         1.1974613514         3.5393058420        -3.6129211985
        0.5450122000         2.0500000000         1.2000136783         3.5316502097        -3.5464338743
        0.5500029000         2.0500000000         1.2000136783         3.5137870674        -3.5464338743
        0.5550098000         2.0500000000         1.2000136783         3.5061314351        -3.5464338743
        0.5600045000         2.0500000000         1.2000136783         3.4831645379        -3.5464338743
        0.5650038000         2.0500000000         1.2000136783         3.4857164154        -3.5464338743
        0.5700047000         2.0500000000         1.2153276394         3.4729570281        -3.1475099289
        0.5750032000         2.0500000000         1.2000136783         3.4525420084        -3.5464338743
        0.5800047000         2.0500000000         1.2051183320         3.4397826211        -3.4134592258
        0.5850030000         2.0500000000         1.2025660052         3.4219194789        -3.4799465500
        0.5900048000         2.0500000000         1.1949090246         3.4040563367        -3.6794085227
        0.5950027000         2.0500000000         1.2000136783         3.3964007043        -3.5464338743
        0.6000046000         2.0500000000         1.2000136783         3.3861931945        -3.5464338743
        0.6050051000         2.0500000000         1.2000136783         3.3734338072        -3.5464338743
        0.6100050000         2.0500000000         1.1923566977         3.3606744199        -3.7458958469
        0.6150364000         2.0500000000         1.2076706589         3.3453631551        -3.3469719016
        0.6200030000         2.0500000000         1.1974613514         3.3377075228        -3.6129211985
        0.6250039000         2.0500000000         1.2000136783         3.3198443806        -3.5464338743
        0.6300074000         2.0500000000         1.1898043709         3.2994293609        -3.8123831712
        0.6350197000         2.0500000000         1.2051183320         3.2866699736        -3.4134592258
        0.6400029000         2.0500000000         1.1872520440         3.2764624638        -3.8788704954
        0.6450026000         2.0500000000         1.1974613514         3.2560474441        -3.6129211985
        0.6500014000         2.0500000000         1.2000136783         3.2483918117        -3.5464338743
        0.6550168000         2.0500000000         1.2000136783         3.2356324244        -3.5464338743
        0.6600062000         2.0500000000         1.1898043709         3.2152174047        -3.8123831712
        0.6650061000         2.0500000000         1.1923566977         3.2075617724        -3.7458958469
        0.6700031000         2.0500000000         1.1821473903         3.1871467527        -4.0118451438
        0.6750062000         2.0500000000         1.2076706589         3.1794911203        -3.3469719016
        0.6800037000         2.0500000000         1.1846997172         3.1641798556        -3.9453578196
        0.6850065000         2.0500000000         1.1949090246         3.1539723457        -3.6794085227
        0.6900032000         2.0500000000         1.1846997172         3.1310054486        -3.9453578196
        0.6950024000         2.0500000000         1.1795950634         3.1131423064        -4.0783324681
        0.7000060000         2.0500000000         1.2025660052         3.1131423064        -3.4799465500
        0.7050061000         2.0500000000         1.1898043709         3.0927272867        -3.8123831712
        0.7100050000         2.0500000000         1.1872520440         3.0723122670        -3.8788704954
        0.7150063000         2.0500000000         1.1795950634         3.0570010023        -4.0783324681
        0.7200052000         2.0500000000         1.1821473903         3.0442416150        -4.0118451438
        0.7250052000         2.0500000000         1.1846997172         3.0340341051        -3.9453578196
        0.7300064000         2.0500000000         1.1872520440         3.0187228404        -3.8788704954
        0.7350086000         2.0500000000         1.1693857560         3.0034115756        -4.3442817650
        0.7400065000         2.0500000000         1.1898043709         2.9881003109        -3.8123831712
        0.7450044000         2.0500000000         1.1719380829         2.9676852912        -4.2777944407
        0.7500061000         2.0500000000         1.1770427366         2.9523740265        -4.1448197923
        0.7550052000         2.0500000000         1.1872520440         2.9447183941        -3.8788704954
        0.7600031000         2.0500000000         1.1821473903         2.9294071293        -4.0118451438
        0.7650047000         2.0500000000         1.1872520440         2.9191996195        -3.8788704954
        0.7700037000         2.0500000000         1.1821473903         2.8987845998        -4.0118451438
