% Motor Sweep Step 119/180
% Vcmd       = 3.5000 [V]
% Direction  = CW
% Zone       = OUTER
% Vg_offset  = 1.336155 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000124000         3.5000000000         1.3301823480         1.7402322334        -0.1555803387
        0.0050085000         3.5000000000         1.3352870017         1.7453359884        -0.0226056902
        0.0100080000         3.5000000000         1.3301823480         1.7402322334        -0.1555803387
        0.0150113000         3.5000000000         1.3301823480         1.7402322334        -0.1555803387
        0.0200637000         3.5000000000         1.5037405742         1.7529916207         4.3655577087
        0.0250096000         3.5000000000         1.5343684965         1.7708547629         5.1634055994
        0.0300056000         3.5000000000         1.5165022085         1.7963735375         4.6979943299
        0.0350091000         3.5000000000         1.5420254771         1.8040291699         5.3628675721
        0.0400081000         3.5000000000         1.5675487456         1.8269960670         6.0277408144
        0.0450094000         3.5000000000         1.5675487456         1.8525148416         6.0277408144
        0.0500085000         3.5000000000         1.5675487456         1.8703779838         6.0277408144
        0.0550093000         3.5000000000         1.6185952828         1.9112080232         7.3574872989
        0.0600072000         3.5000000000         1.6083859753         1.9341749203         7.0915380020
        0.0650090000         3.5000000000         1.6160429559         1.9494861851         7.2909999747
        0.0700101000         3.5000000000         1.6262522633         1.9852124695         7.5569492716
        0.0750095000         3.5000000000         1.6185952828         2.0132831215         7.3574872989
        0.0800254000         3.5000000000         1.6415662245         2.0490094060         7.9558732170
        0.0850094000         3.5000000000         1.6390138976         2.0745281806         7.8893858927
        0.0900068000         3.5000000000         1.6364615707         2.1077025875         7.8228985685
        0.0950093000         3.5000000000         1.6645371662         2.1383251170         8.5542591350
        0.1000146000         3.5000000000         1.6415662245         2.1612920142         7.9558732170
        0.1050062000         3.5000000000         1.6696418199         2.1970182986         8.6872337835
        0.1100372000         3.5000000000         1.6619848393         2.2301927056         8.4877718108
        0.1150109000         3.5000000000         1.6696418199         2.2582633576         8.6872337835
        0.1200509000         3.5000000000         1.6824034542         2.3016452744         9.0196704046
        0.1250095000         3.5000000000         1.6721941467         2.3297159265         8.7537211077
        0.1300058000         3.5000000000         1.7002697422         2.3730978433         9.4850816742
        0.1350047000         3.5000000000         1.6849557810         2.3986166179         9.0861577288
        0.1400099000         3.5000000000         1.7028220690         2.4394466572         9.5515689984
        0.1450103000         3.5000000000         1.6849557810         2.4777248191         9.0861577288
        0.1500378000         3.5000000000         1.7130313764         2.5134511035         9.8175182953
        0.1552140000         3.5000000000         1.6977174153         2.5491773879         9.4185943500
        0.1600098000         3.5000000000         1.7206883570         2.5874555498        10.0169802680
        0.1650080000         3.5000000000         1.7002697422         2.6104224470         9.4850816742
        0.1700749000         3.5000000000         1.7130313764         2.6487006088         9.8175182953
        0.1752596000         3.5000000000         1.7079267227         2.6895306482         9.6845436469
        0.1801970000         3.5000000000         1.7232406839         2.7252569326        10.0834675922
        0.1851988000         3.5000000000         1.7232406839         2.7686388494        10.0834675922
        0.1900044000         3.5000000000         1.7257930107         2.8094688888        10.1499549164
        0.1950066000         3.5000000000         1.7206883570         2.8477470506        10.0169802680
        0.2000061000         3.5000000000         1.7436592987         2.8885770900        10.6153661860
        0.2050153000         3.5000000000         1.7360023181         2.9243033744        10.4159042134
        0.2100497000         3.5000000000         1.7283453376         2.9651334138        10.2164422407
        0.2150118000         3.5000000000         1.7462116256         3.0034115756        10.6818535103
        0.2200682000         3.5000000000         1.7411069719         3.0518972474        10.5488788618
        0.2250101000         3.5000000000         1.7360023181         3.0850716543        10.4159042134
        0.2300092000         3.5000000000         1.7513162793         3.1259016937        10.8148281587
        0.2350075000         3.5000000000         1.7308976644         3.1590761006        10.2829295649
        0.2400093000         3.5000000000         1.7360023181         3.2101136498        10.4159042134
        0.2450067000         3.5000000000         1.7538686061         3.2407361793        10.8813154829
        0.2500093000         3.5000000000         1.7385546450         3.2866699736        10.4823915376
        0.2550091000         3.5000000000         1.7487639524         3.3351556453        10.7483408345
        0.2600095000         3.5000000000         1.7538686061         3.3632262974        10.8813154829
        0.2650086000         3.5000000000         1.7411069719         3.4091600916        10.5488788618
        0.2700095000         3.5000000000         1.7538686061         3.4525420084        10.8813154829
        0.2750098000         3.5000000000         1.7360023181         3.4933720478        10.4159042134
        0.2800097000         3.5000000000         1.7487639524         3.5367539646        10.7483408345
        0.2850059000         3.5000000000         1.7691825673         3.5852396363        11.2802394283
        0.2900097000         3.5000000000         1.7487639524         3.6133102883        10.7483408345
        0.2950060000         3.5000000000         1.7564209330         3.6694515924        10.9478028072
        0.3000111000         3.5000000000         1.7742872210         3.7102816318        11.4132140768
        0.3050099000         3.5000000000         1.7538686061         3.7409041613        10.8813154829
        0.3100094000         3.5000000000         1.7717348941         3.7970454654        11.3467267525
        0.3150098000         3.5000000000         1.7691825673         3.8404273822        11.2802394283
        0.3200094000         3.5000000000         1.7691825673         3.8684980342        11.2802394283
        0.3250072000         3.5000000000         1.7564209330         3.9144318285        10.9478028072
        0.3300094000         3.5000000000         1.7768395479         3.9603656228        11.4797014010
        0.3350059000         3.5000000000         1.7615255867         4.0037475396        11.0807774556
        0.3400097000         3.5000000000         1.7615255867         4.0420257015        11.0807774556
        0.3450059000         3.5000000000         1.7691825673         4.0854076183        11.2802394283
        0.3500092000         3.5000000000         1.7640779136         4.1287895351        11.1472647798
        0.3550050000         3.5000000000         1.7717348941         4.1747233293        11.3467267525
        0.3600093000         3.5000000000         1.7742872210         4.2232090010        11.4132140768
        0.3650085000         3.5000000000         1.7768395479         4.2665909178        11.4797014010
        0.3700082000         3.5000000000         1.7538686061         4.3023172023        10.8813154829
        0.3750076000         3.5000000000         1.7793918747         4.3533547515        11.5461887252
        0.3800102000         3.5000000000         1.7691825673         4.4043923006        11.2802394283
        0.3850095000         3.5000000000         1.7691825673         4.4426704625        11.2802394283
        0.3900093000         3.5000000000         1.7768395479         4.4860523793        11.4797014010
        0.3950074000         3.5000000000         1.7742872210         4.5396418060        11.4132140768
        0.4000073000         3.5000000000         1.7717348941         4.5779199678        11.3467267525
        0.4050074000         3.5000000000         1.7717348941         4.6213018847        11.3467267525
        0.4100733000         3.5000000000         1.7666302404         4.6697875564        11.2137521041
        0.4150095000         3.5000000000         1.7691825673         4.7157213506        11.2802394283
        0.4200075000         3.5000000000         1.7819442016         4.7718626547        11.6126760494
        0.4250744000         3.5000000000         1.7717348941         4.8050370617        11.3467267525
        0.4300090000         3.5000000000         1.7615255867         4.8484189785        11.0807774556
        0.4350085000         3.5000000000         1.7819442016         4.8943527728        11.6126760494
        0.4400092000         3.5000000000         1.7819442016         4.9428384445        11.6126760494
        0.4450064000         3.5000000000         1.7742872210         4.9913241162        11.4132140768
        0.4500093000         3.5000000000         1.7640779136         5.0040835035        11.1472647798
        0.4550111000         3.5000000000         1.7742872210         5.0066353810        11.4132140768
        0.4600098000         3.5000000000         1.7793918747         5.0040835035        11.5461887252
        0.4650077000         3.5000000000         1.7819442016         1.0997109912        11.6126760494
        0.4700092000         3.5000000000         1.7870488553        -0.0001481936        11.7456506979
        0.4750067000         3.5000000000         1.7870488553        -0.0001481936        11.7456506979
        0.4800095000         3.5000000000         1.7691825673        -0.0052519485        11.2802394283
        0.4850057000         3.5000000000         1.7666302404         0.0355780908        11.2137521041
        0.4900098000         3.5000000000         1.7921535090         0.0840637625        11.8786253463
        0.4950069000         3.5000000000         1.7793918747         0.1376531892        11.5461887252
        0.5000096000         3.5000000000         1.7717348941         0.1682757187        11.3467267525
        0.5050059000         3.5000000000         1.7844965284         0.2244170228        11.6791633737
        0.5100297000         3.5000000000         1.7742872210         0.2754545720        11.4132140768
        0.5150910000         3.5000000000         1.7691825673         0.3086289789        11.2802394283
        0.5200061000         3.5000000000         1.7870488553         0.3647702830        11.7456506979
        0.5250095000         3.5000000000         1.7742872210         0.4132559548        11.4132140768
        0.5300094000         3.5000000000         1.7896011821         0.4566378716        11.8121380221
        0.5350060000         3.5000000000         1.7819442016         0.5000197884        11.6126760494
        0.5400095000         3.5000000000         1.7691825673         0.5382979502        11.2802394283
        0.5450212000         3.5000000000         1.7998104896         0.5918873769        12.0780873190
        0.5500073000         3.5000000000         1.7819442016         0.6276136613        11.6126760494
        0.5550059000         3.5000000000         1.7742872210         0.6709955781        11.4132140768
        0.5600095000         3.5000000000         1.7844965284         0.7271368822        11.6791633737
        0.5650049000         3.5000000000         1.7844965284         0.7654150441        11.6791633737
        0.5700052000         3.5000000000         1.7717348941         0.8036932060        11.3467267525
        0.5750082000         3.5000000000         1.7896011821         0.8598345101        11.8121380221
        0.5800086000         3.5000000000         1.7998104896         0.9083201818        12.0780873190
        0.5850096000         3.5000000000         1.7844965284         0.9542539761        11.6791633737
        0.5900112000         3.5000000000         1.7742872210         0.9823246281        11.4132140768
        0.5950092000         3.5000000000         1.7947058358         1.0435696871        11.9451126706
        0.6000103000         3.5000000000         1.7691825673         1.0792959716        11.2802394283
        0.6050149000         3.5000000000         1.7793918747         1.1201260109        11.5461887252
        0.6100071000         3.5000000000         1.7870488553         1.1711635601        11.7456506979
        0.6150222000         3.5000000000         1.7870488553         1.2094417220        11.7456506979
        0.6200116000         3.5000000000         1.7947058358         1.2655830261        11.9451126706
        0.6250071000         3.5000000000         1.7793918747         1.3089649429        11.5461887252
        0.6300065000         3.5000000000         1.7947058358         1.3472431047        11.9451126706
        0.6350034000         3.5000000000         1.7870488553         1.3931768990        11.7456506979
        0.6400027000         3.5000000000         1.7819442016         1.4365588158        11.6126760494
        0.6450084000         3.5000000000         1.7896011821         1.4773888552        11.8121380221
        0.6500037000         3.5000000000         1.7819442016         1.5207707720        11.6126760494
        0.6550093000         3.5000000000         1.7921535090         1.5692564437        11.8786253463
        0.6600061000         3.5000000000         1.7896011821         1.6100864830        11.8121380221
        0.6650096000         3.5000000000         1.7921535090         1.6611240322        11.8786253463
        0.6700086000         3.5000000000         1.7947058358         1.7121615814        11.9451126706
        0.6750095000         3.5000000000         1.7793918747         1.7453359884        11.5461887252
        0.6800102000         3.5000000000         1.7947058358         1.7938216601        11.9451126706
        0.6850093000         3.5000000000         1.7947058358         1.8397554543        11.9451126706
        0.6900097000         3.5000000000         1.7870488553         1.8805854937        11.7456506979
        0.6950095000         3.5000000000         1.7896011821         1.9265192879        11.8121380221
        0.7000059000         3.5000000000         1.7998104896         1.9724530822        12.0780873190
