% Motor Sweep Step 134/180
% Vcmd       = 1.1500 [V]
% Direction  = CCW
% Zone       = OUTER
% Vg_offset  = 1.336155 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000152000         1.1500000000         1.3710195777         4.8280039588         0.9082168489
        0.0050182000         1.1500000000         1.3429439823         4.8331077137         0.1768562824
        0.0100103000         1.1500000000         1.3352870017         4.8254520814        -0.0226056902
        0.0150147000         1.1500000000         1.3123160600         4.8152445715        -0.6209916083
        0.0200100000         1.1500000000         1.0749496623         4.8050370617        -6.8043127614
        0.0250123000         1.1500000000         1.1311008532         4.7769664097        -5.3415916284
        0.0300116000         1.1500000000         1.0468740669         4.7514476351        -7.5356733279
        0.0350510000         1.1500000000         1.0494263938         4.7157213506        -7.4691860036
        0.0400083000         1.1500000000         1.0264554521         4.6850988211        -8.0675719217
        0.0450099000         1.1500000000         1.0315601058         4.6646838015        -7.9345972732
        0.0500101000         1.1500000000         0.9856182224         4.6289575170        -9.1313691093
        0.0550100000         1.1500000000         0.9856182224         4.5804718453        -9.1313691093
        0.0600078000         1.1500000000         0.9575426269         4.5447455609        -9.8627296758
        0.0650101000         1.1500000000         0.9626472806         4.5115711539        -9.7297550273
        0.0700103000         1.1500000000         0.9447809927         4.4656373597       -10.1951662969
        0.0750097000         1.1500000000         0.9447809927         4.4350148301       -10.1951662969
        0.0800094000         1.1500000000         0.9269147047         4.3890810359       -10.6605775665
        0.0850093000         1.1500000000         0.9320193584         4.3456991191       -10.5276029181
        0.0900056000         1.1500000000         0.9192577241         4.3125247121       -10.8600395392
        0.0950100000         1.1500000000         0.9116007435         4.2640390404       -11.0595015119
        0.1000103000         1.1500000000         0.9013914361         4.2155533687       -11.3254508088
        0.1050098000         1.1500000000         0.9039437630         4.1849308392       -11.2589634845
        0.1100062000         1.1500000000         0.8886298018         4.1313414125       -11.6578874299
        0.1150068000         1.1500000000         0.8835251481         4.0879594957       -11.7908620784
        0.1200091000         1.1500000000         0.8886298018         4.0471294564       -11.6578874299
        0.1250071000         1.1500000000         0.8605542064         3.9909881523       -12.3892479964
        0.1300108000         1.1500000000         0.8809728212         3.9450543580       -11.8573494026
        0.1350089000         1.1500000000         0.8656588601         3.9093280736       -12.2562733479
        0.1400102000         1.1500000000         0.8631065332         3.8557386469       -12.3227606722
        0.1450091000         1.1500000000         0.8605542064         3.8098048527       -12.3892479964
        0.1500105000         1.1500000000         0.8426879184         3.7638710584       -12.8546592660
        0.1550101000         1.1500000000         0.8477925721         3.7077297543       -12.7216846175
        0.1600074000         1.1500000000         0.8426879184         3.6617959601       -12.8546592660
        0.1650081000         1.1500000000         0.8477925721         3.6056546560       -12.7216846175
        0.1700083000         1.1500000000         0.8375832647         3.5699283715       -12.9876339144
        0.1750079000         1.1500000000         0.8375832647         3.5137870674       -12.9876339144
        0.1800657000         1.1500000000         0.8222693035         3.4601976408       -13.3865578598
        0.1851566000         1.1500000000         0.8375832647         3.4117119691       -12.9876339144
        0.1900068000         1.1500000000         0.8197169767         3.3657781748       -13.4530451840
        0.1950070000         1.1500000000         0.8248216304         3.3096368707       -13.3200705356
        0.2001937000         1.1500000000         0.8171646498         3.2611511990       -13.5195325083
        0.2050058000         1.1500000000         0.8350309378         3.2203211597       -13.0541212387
        0.2100084000         1.1500000000         0.8018506887         3.1565242232       -13.9184564536
        0.2150096000         1.1500000000         0.8197169767         3.1080385515       -13.4530451840
        0.2200213000         1.1500000000         0.8248216304         3.0570010023       -13.3200705356
        0.2250090000         1.1500000000         0.7941937081         2.9983078207       -14.1179184263
        0.2300104000         1.1500000000         0.8222693035         2.9421665166       -13.3865578598
        0.2350093000         1.1500000000         0.7992983618         2.8936808449       -13.9849437778
        0.2400081000         1.1500000000         0.8044030155         2.8426432957       -13.8519691294
        0.2450080000         1.1500000000         0.7941937081         2.7941576240       -14.1179184263
        0.2500702000         1.1500000000         0.8248216304         2.7405681974       -13.3200705356
        0.2550097000         1.1500000000         0.7890890544         2.6844268933       -14.2508930747
        0.2601134000         1.1500000000         0.7890890544         2.6206299568       -14.2508930747
        0.2650066000         1.1500000000         0.8146123230         2.5772480400       -13.5860198325
        0.2700080000         1.1500000000         0.7839844007         2.5236586133       -14.3838677232
        0.2750096000         1.1500000000         0.7865367276         2.4624135543       -14.3173803990
        0.2802415000         1.1500000000         0.7788797470         2.4037203728       -14.5168423717
        0.2850053000         1.1500000000         0.7941937081         2.3679940883       -14.1179184263
        0.2903290000         1.1500000000         0.7916413813         2.3093009068       -14.1844057505
        0.2950094000         1.1500000000         0.7941937081         2.2506077252       -14.1179184263
        0.3000076000         1.1500000000         0.7712227664         2.1944664211       -14.7163043443
        0.3050093000         1.1500000000         0.7839844007         2.1408769945       -14.3838677232
        0.3100070000         1.1500000000         0.7712227664         2.0821838129       -14.7163043443
        0.3150095000         1.1500000000         0.7814320738         2.0234906314       -14.4503550474
        0.3200074000         1.1500000000         0.7533564784         1.9622455724       -15.1817156139
        0.3250098000         1.1500000000         0.7890890544         1.9239674105       -14.2508930747
        0.3300097000         1.1500000000         0.7763274201         1.8652742289       -14.5833296959
        0.3350091000         1.1500000000         0.7763274201         1.7989254150       -14.5833296959
        0.3400030000         1.1500000000         0.7763274201         1.7580953756       -14.5833296959
        0.3450097000         1.1500000000         0.7686704396         1.6942984392       -14.7827916686
        0.3500119000         1.1500000000         0.7686704396         1.6381571351       -14.7827916686
        0.3550112000         1.1500000000         0.7584611321         1.5820158310       -15.0487409655
        0.3600030000         1.1500000000         0.7814320738         1.5258745269       -14.4503550474
        0.3650095000         1.1500000000         0.7635657858         1.4697332228       -14.9157663170
        0.3700250000         1.1500000000         0.7584611321         1.4059362863       -15.0487409655
        0.3750102000         1.1500000000         0.7533564784         1.3600024920       -15.1817156139
        0.3800052000         1.1500000000         0.7788797470         1.3013093105       -14.5168423717
        0.3850110000         1.1500000000         0.7482518247         1.2426161289       -15.3146902624
        0.3900102000         1.1500000000         0.7763274201         1.1839229474       -14.5833296959
        0.3950054000         1.1500000000         0.7431471710         1.1252297658       -15.4476649108
        0.4000086000         1.1500000000         0.7712227664         1.0665365843       -14.7163043443
        0.4050062000         1.1500000000         0.7431471710         1.0154990351       -15.4476649108
        0.4100101000         1.1500000000         0.7788797470         0.9619096084       -14.5168423717
        0.4150077000         1.1500000000         0.7329378636         0.9006645494       -15.7136142077
