% Sweep Step 169/200  Vcmd=4.7500V  CW
% Vg_offset=1.338056V  K_gimbal=26.049690

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0005131000         4.7500000000         1.3454963091         2.5772480400         0.1938105501
        0.0054311000         4.7500000000         1.3403916554         2.5695924076         0.0608359017
        0.0104878000         4.7500000000         1.3403916554         2.5772480400         0.0608359017
        0.0155636000         4.7500000000         1.4016475000         2.5772480400         1.6565316831
        0.0204082000         4.7500000000         1.6390138976         2.5925593047         7.8398528362
        0.0254423000         4.7500000000         1.5726533993         2.6257337117         6.1111824063
        0.0304302000         4.7500000000         1.6619848393         2.6461487314         8.4382387542
        0.0354380000         4.7500000000         1.7232406839         2.6844268933        10.0339345357
        0.0404337000         4.7500000000         1.7640779136         2.7329125650        11.0977317233
        0.0455467000         4.7500000000         1.7768395479         2.7686388494        11.4301683444
        0.0507001000         4.7500000000         1.8610663341         2.8196763986        13.6242500439
        0.0555115000         4.7500000000         1.8610663341         2.8707139478        13.6242500439
        0.0604750000         4.7500000000         1.9146651981         2.9268552519        15.0204838527
        0.0654807000         4.7500000000         1.9376361398         2.9829965560        15.6188697707
        0.0706535000         4.7500000000         1.9631594084         3.0493453699        16.2837430130
        0.0754523000         4.7500000000         1.9861303501         3.1105904289        16.8821289310
        0.0805207000         4.7500000000         1.9810256964         3.1769392429        16.7491542826
        0.0855770000         4.7500000000         2.0371768872         3.2534955666        18.2118754156
        0.0905125000         4.7500000000         2.0346245604         3.3121887482        18.1453880913
        0.0954394000         4.7500000000         2.0346245604         3.3912969494        18.1453880913
        0.1004432000         4.7500000000         2.0754617901         3.4627495183        19.2091852790
        0.1054228000         4.7500000000         2.0601478289         3.5316502097        18.8102613336
        0.1106162000         4.7500000000         2.0754617901         3.5954471461        19.2091852790
        0.1156000000         4.7500000000         2.0805664438         3.6796591023        19.3421599274
        0.1204332000         4.7500000000         2.0933280780         3.7536635486        19.6745965485
        0.1253961000         4.7500000000         2.0958804049         3.8302198724        19.7410838728
        0.1304797000         4.7500000000         2.1009850586         3.9042243187        19.8740585212
        0.1354205000         4.7500000000         2.0984327318         3.9756768875        19.8075711970
        0.1405090000         4.7500000000         2.1035373855         4.0547850888        19.9405458454
        0.1454034000         4.7500000000         2.1162990198         4.1364451674        20.2729824666
        0.1504902000         4.7500000000         2.1214036735         4.2155533687        20.4059571150
        0.1554731000         4.7500000000         2.1443746152         4.3023172023        21.0043430331
        0.1605266000         4.7500000000         2.1239560003         4.3712178937        20.4724444393
        0.1654526000         4.7500000000         2.1214036735         4.4605336047        20.4059571150
        0.1704618000         4.7500000000         2.1418222883         4.5421936834        20.9378557088
        0.1754662000         4.7500000000         2.1392699615         4.6187500072        20.8713683846
        0.1804290000         4.7500000000         2.1367176346         4.7080657183        20.8048810604
        0.1854250000         4.7500000000         2.1520315957         4.7999333068        21.2038050058
        0.1904513000         4.7500000000         2.1418222883         4.8790415080        20.9378557088
        0.1954250000         4.7500000000         2.1392699615         4.9607015867        20.8713683846
        0.2004414000         4.7500000000         2.1494792689         4.9989797486        21.1373176815
        0.2054681000         4.7500000000         2.1443746152         4.9862203613        21.0043430331
        0.2104867000         4.7500000000         2.1367176346        -0.0027000711        20.8048810604
        0.2154780000         4.7500000000         2.1443746152        -0.0052519485        21.0043430331
        0.2204273000         4.7500000000         2.1724502106         0.0738562527        21.7357035996
        0.2254308000         4.7500000000         2.1443746152         0.1529644539        21.0043430331
        0.2304429000         4.7500000000         2.1494792689         0.2320726552        21.1373176815
        0.2354145000         4.7500000000         2.1494792689         0.3213883662        21.1373176815
        0.2404149000         4.7500000000         2.1545839226         0.4004965675        21.2702923300
        0.2454659000         4.7500000000         2.1494792689         0.4847085236        21.1373176815
        0.2504120000         4.7500000000         2.1622409032         0.5816798670        21.4697543027
        0.2554017000         4.7500000000         2.1545839226         0.6582361908        21.2702923300
        0.2604687000         4.7500000000         2.1596885763         0.7398962695        21.4032669784
        0.2654326000         4.7500000000         2.1622409032         0.8292119806        21.4697543027
        0.2705378000         4.7500000000         2.1571362495         0.9057683043        21.3367796542
        0.2754199000         4.7500000000         2.1673455569         0.9950840154        21.6027289511
        0.2805607000         4.7500000000         2.1622409032         1.0818478490        21.4697543027
        0.2854493000         4.7500000000         2.1520315957         1.1584041728        21.2038050058
        0.2903972000         4.7500000000         2.1647932300         1.2502717613        21.5362416269
        0.2954163000         4.7500000000         2.1647932300         1.3217243302        21.5362416269
        0.3003899000         4.7500000000         2.1622409032         1.4084881638        21.4697543027
        0.3054914000         4.7500000000         2.1673455569         1.5029076297        21.6027289511
        0.3104578000         4.7500000000         2.1647932300         1.5769120761        21.5362416269
        0.3154634000         4.7500000000         2.1622409032         1.6509165224        21.4697543027
        0.3204135000         4.7500000000         2.1826595180         1.7478878658        22.0016528965
        0.3254224000         4.7500000000         2.1698978837         1.8244441896        21.6692162753
        0.3304676000         4.7500000000         2.1596885763         1.9035523908        21.4032669784
        0.3354177000         4.7500000000         2.1775548643         1.9954199793        21.8686782480
        0.3404067000         4.7500000000         2.1673455569         2.0668725482        21.6027289511
