% Motor Sweep Step 26/50
% Vcmd       = 1.2000 [V]
% Direction  = CCW
% Vg_offset  = 1.334866 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000234000         1.2000000000         1.3327346748         3.9118799510        -0.0555169157
        0.0050084000         1.2000000000         1.3352870017         3.9195355834         0.0109704085
        0.0105168000         1.2000000000         1.3072114063         3.9195355834        -0.7203901580
        0.0150073000         1.2000000000         1.2689265034         3.9195355834        -1.7177000214
        0.0200050000         1.2000000000         1.0187984715         3.8889130539        -8.2334577956
        0.0250076000         1.2000000000         1.1311008532         3.8710499117        -5.3080155296
        0.0300069000         1.2000000000         1.1055775846         3.8429792597        -5.9728887719
        0.0350067000         1.2000000000         1.0162461446         3.8123567301        -8.2999451198
        0.0400064000         1.2000000000         1.0596357012         3.7842860781        -7.1696606080
        0.0450080000         1.2000000000         1.0009321835         3.7536635486        -8.6988690652
        0.0500045000         1.2000000000         0.9907228761         3.7281447740        -8.9648183621
        0.0550049000         1.2000000000         0.9983798566         3.6873147347        -8.7653563894
        0.0600038000         1.2000000000         0.9677519344         3.6490365728        -9.5632042801
        0.0650047000         1.2000000000         0.9754089149         3.6184140433        -9.3637423075
        0.0700029000         1.2000000000         0.9549903001         3.5699283715        -9.8956409013
        0.0750047000         1.2000000000         0.9422286658         3.5444095970       -10.2280775224
        0.0800089000         1.2000000000         0.9447809927         3.4933720478       -10.1615901982
        0.0850037000         1.2000000000         0.9345716852         3.4576457633       -10.4275394951
        0.0900474000         1.2000000000         0.9218100509         3.4219194789       -10.7599761162
        0.0950050000         1.2000000000         0.9243623778         3.3836413170       -10.6934887920
        0.1000049000         1.2000000000         0.9141530704         3.3326037679       -10.9594380889
        0.1050043000         1.2000000000         0.8937344555         3.2866699736       -11.4913366827
        0.1100041000         1.2000000000         0.9167053972         3.2534955666       -10.8929507647
        0.1150027000         1.2000000000         0.8962867824         3.2024580174       -11.4248493585
        0.1200054000         1.2000000000         0.8886298018         3.1590761006       -11.6243113312
        0.1250034000         1.2000000000         0.8835251481         3.1156941838       -11.7572859796
        0.1300044000         1.2000000000         0.8937344555         3.0748641445       -11.4913366827
        0.1350061000         1.2000000000         0.8656588601         3.0238265953       -12.2226972492
        0.1400044000         1.2000000000         0.8860774750         2.9778928011       -11.6907986554
        0.1450031000         1.2000000000         0.8733158407         2.9370627617       -12.0232352765
        0.1500067000         1.2000000000         0.8656588601         2.8860252125       -12.2226972492
        0.1550054000         1.2000000000         0.8682111870         2.8400914183       -12.1562099250
        0.1600040000         1.2000000000         0.8656588601         2.7865019916       -12.2226972492
        0.1650061000         1.2000000000         0.8631065332         2.7558794621       -12.2891845734
        0.1700049000         1.2000000000         0.8580018795         2.6997381580       -12.4221592219
        0.1750043000         1.2000000000         0.8656588601         2.6589081187       -12.2226972492
        0.1800064000         1.2000000000         0.8580018795         2.6053186920       -12.4221592219
        0.1850039000         1.2000000000         0.8452402453         2.5593848978       -12.7545958430
        0.1900056000         1.2000000000         0.8503448990         2.5006917162       -12.6216211946
        0.1950035000         1.2000000000         0.8554495527         2.4598616769       -12.4886465461
        0.2000065000         1.2000000000         0.8401355915         2.4088241277       -12.8875704915
        0.2050065000         1.2000000000         0.8580018795         2.3603384560       -12.4221592219
        0.2100063000         1.2000000000         0.8350309378         2.3093009068       -13.0205451399
        0.2150041000         1.2000000000         0.8324786110         2.2582633576       -13.0870324642
        0.2200078000         1.2000000000         0.8452402453         2.2199851957       -12.7545958430
        0.2250043000         1.2000000000         0.8273739573         2.1587401367       -13.2200071126
        0.2300060000         1.2000000000         0.8299262841         2.1128063424       -13.1535197884
        0.2351303000         1.2000000000         0.8248216304         2.0694244256       -13.2864944368
        0.2400057000         1.2000000000         0.8146123230         2.0005237343       -13.5524437337
        0.2450048000         1.2000000000         0.8324786110         1.9622455724       -13.0870324642
        0.2500043000         1.2000000000         0.8095076693         1.9010005134       -13.6854183822
        0.2550048000         1.2000000000         0.8120599961         1.8525148416       -13.6189310580
        0.2600035000         1.2000000000         0.8222693035         1.8116848023       -13.3529817611
        0.2650054000         1.2000000000         0.8069553424         1.7504397433       -13.7519057064
        0.2700094000         1.2000000000         0.7941937081         1.6942984392       -14.0843423276
        0.2750055000         1.2000000000         0.8197169767         1.6509165224       -13.4194690853
        0.2800051000         1.2000000000         0.8018506887         1.5947752183       -13.8848803549
        0.2850044000         1.2000000000         0.8171646498         1.5539451789       -13.4859564095
        0.2900037000         1.2000000000         0.8018506887         1.4927001199       -13.8848803549
        0.2950052000         1.2000000000         0.7992983618         1.4416625707       -13.9513676791
        0.3000443000         1.2000000000         0.7839844007         1.3855212666       -14.3502916245
        0.3050049000         1.2000000000         0.8018506887         1.3370355949       -13.8848803549
        0.3100038000         1.2000000000         0.8044030155         1.2783424134       -13.8183930307
        0.3150059000         1.2000000000         0.8044030155         1.2324086191       -13.8183930307
        0.3200046000         1.2000000000         0.7992983618         1.1737154375       -13.9513676791
        0.3250051000         1.2000000000         0.7890890544         1.1277816433       -14.2173169760
        0.3300052000         1.2000000000         0.7916413813         1.0563290744       -14.1508296518
        0.3350103000         1.2000000000         0.7890890544         1.0027396478       -14.2173169760
        0.3400027000         1.2000000000         0.7865367276         0.9491502211       -14.2838043002
        0.3450047000         1.2000000000         0.7941937081         0.9057683043       -14.0843423276
        0.3500183000         1.2000000000         0.7941937081         0.8419713679       -14.0843423276
        0.3550110000         1.2000000000         0.7916413813         0.7960375736       -14.1508296518
        0.3600078000         1.2000000000         0.7839844007         0.7245850047       -14.3502916245
        0.3650142000         1.2000000000         0.7839844007         0.6735474556       -14.3502916245
        0.3700076000         1.2000000000         0.7839844007         0.6199580289       -14.3502916245
        0.3750149000         1.2000000000         0.7967460350         0.5663686023       -14.0178550033
        0.3800077000         1.2000000000         0.7814320738         0.5076754207       -14.4167789487
        0.3850162000         1.2000000000         0.7839844007         0.4438784843       -14.3502916245
        0.3900100000         1.2000000000         0.7967460350         0.4030484449       -14.0178550033
        0.3950043000         1.2000000000         0.7763274201         0.3290439986       -14.5497535971
        0.4000030000         1.2000000000         0.7839844007         0.2805583269       -14.3502916245
        0.4050078000         1.2000000000         0.7916413813         0.2244170228       -14.1508296518
        0.4100043000         1.2000000000         0.7763274201         0.1682757187       -14.5497535971
        0.4150163000         1.2000000000         0.7890890544         0.1019269048       -14.2173169760
        0.4203255000         1.2000000000         0.7712227664         0.0508893556       -14.6827282456
        0.4250046000         1.2000000000         0.7788797470        -0.0027000711       -14.4832662729
        0.4300472000         1.2000000000         0.7890890544        -0.0052519485       -14.2173169760
        0.4350050000         1.2000000000         0.7763274201         1.1048147461       -14.5497535971
        0.4400277000         1.2000000000         0.7916413813         1.1099185011       -14.1508296518
        0.4450052000         1.2000000000         0.7890890544         4.9989797486       -14.2173169760
        0.4500034000         1.2000000000         0.7763274201         5.0015316260       -14.5497535971
        0.4550069000         1.2000000000         0.7890890544         4.9658053416       -14.2173169760
        0.4600047000         1.2000000000         0.8095076693         4.9096640375       -13.6854183822
        0.4650060000         1.2000000000         0.7839844007         4.8509708560       -14.3502916245
        0.4700051000         1.2000000000         0.7941937081         4.7948295519       -14.0843423276
        0.4750062000         1.2000000000         0.8044030155         4.7437920027       -13.8183930307
        0.4800063000         1.2000000000         0.7992983618         4.6850988211       -13.9513676791
        0.4850080000         1.2000000000         0.7916413813         4.6187500072       -14.1508296518
        0.4900060000         1.2000000000         0.8095076693         4.5702643355       -13.6854183822
        0.4950090000         1.2000000000         0.7865367276         4.5115711539       -14.2838043002
        0.5000034000         1.2000000000         0.8044030155         4.4681892371       -13.8183930307
        0.5050063000         1.2000000000         0.8069553424         4.4043923006       -13.7519057064
        0.5100051000         1.2000000000         0.7967460350         4.3584585064       -14.0178550033
        0.5150055000         1.2000000000         0.8018506887         4.2997653248       -13.8848803549
        0.5200088000         1.2000000000         0.7967460350         4.2410721433       -14.0178550033
        0.5250044000         1.2000000000         0.7992983618         4.1874827166       -13.9513676791
        0.5300027000         1.2000000000         0.8018506887         4.1338932900       -13.8848803549
        0.5350075000         1.2000000000         0.7941937081         4.0752001084       -14.0843423276
        0.5400050000         1.2000000000         0.7890890544         4.0216106818       -14.2173169760
        0.5450031000         1.2000000000         0.8018506887         3.9731250101       -13.8848803549
        0.5500056000         1.2000000000         0.8018506887         3.9169837060       -13.8848803549
        0.5550051000         1.2000000000         0.7967460350         3.8684980342       -14.0178550033
        0.5600034000         1.2000000000         0.8222693035         3.8251161174       -13.3529817611
        0.5650035000         1.2000000000         0.7941937081         3.7587673035       -14.0843423276
        0.5700045000         1.2000000000         0.8095076693         3.7179372642       -13.6854183822
        0.5750041000         1.2000000000         0.8018506887         3.6566922051       -13.8848803549
        0.5800029000         1.2000000000         0.8018506887         3.6031027785       -13.8848803549
        0.5850072000         1.2000000000         0.8171646498         3.5597208617       -13.4859564095
        0.5900059000         1.2000000000         0.8018506887         3.5061314351       -13.8848803549
        0.5950025000         1.2000000000         0.8120599961         3.4525420084       -13.6189310580
        0.6000040000         1.2000000000         0.8120599961         3.3887450720       -13.6189310580
        0.6050033000         1.2000000000         0.7916413813         3.3377075228       -14.1508296518
        0.6100070000         1.2000000000         0.8095076693         3.2866699736       -13.6854183822
        0.6150060000         1.2000000000         0.8120599961         3.2356324244       -13.6189310580
        0.6200047000         1.2000000000         0.8044030155         3.1896986301       -13.8183930307
        0.6250017000         1.2000000000         0.8120599961         3.1361092035       -13.6189310580
        0.6300038000         1.2000000000         0.8018506887         3.0723122670       -13.8848803549
        0.6350042000         1.2000000000         0.8044030155         3.0238265953       -13.8183930307
