% Motor Sweep Step 49/50
% Vcmd       = 5.0000 [V]
% Direction  = CW
% Vg_offset  = 1.334866 [V]
% K_gimbal   = 26.049690 [(rad/s)/V]

Time[s]              Vcmd[V]              Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000367000         5.0000000000         1.3378393285         2.5134511035         0.0774577327
        0.0050084000         5.0000000000         1.3429439823         2.5211067359         0.2104323812
        0.0100073000         5.0000000000         1.3429439823         2.5211067359         0.2104323812
        0.0150038000         5.0000000000         1.3863335388         2.5185548584         1.3407168930
        0.0200057000         5.0000000000         1.6134906290         2.5364180006         7.2580887492
        0.0250054000         5.0000000000         1.5573394382         2.5619367752         5.7953676162
        0.0300056000         5.0000000000         1.5649964188         2.5849036724         5.9948295889
        0.0350069000         5.0000000000         1.6824034542         2.6129743244         9.0532465033
        0.0400850000         5.0000000000         1.6441185513         2.6384930990         8.0559366399
        0.0450064000         5.0000000000         1.6926127616         2.6793231383         9.3191958002
        0.0500044000         5.0000000000         1.7666302404         2.7201531777        11.2473282028
        0.0550060000         5.0000000000         1.7589732599         2.7660869720        11.0478662301
        0.0600046000         5.0000000000         1.8151244507         2.8094688888        12.5105873631
        0.0650060000         5.0000000000         1.8457523730         2.8656101929        13.3084352538
        0.0700057000         5.0000000000         1.8738279684         2.9115439871        14.0397958203
        0.0750063000         5.0000000000         1.9223221787         2.9727890461        15.3030549806
        0.0800315000         5.0000000000         1.9452931204         3.0263784728        15.9014408987
        0.0850048000         5.0000000000         1.9555024278         3.0850716543        16.1673901956
        0.0900949000         5.0000000000         2.0193105992         3.1514204683        17.8295733012
        0.0950067000         5.0000000000         2.0371768872         3.2203211597        18.2949845708
        0.1000636000         5.0000000000         2.0627001558         3.2943256060        18.9598578131
        0.1050051000         5.0000000000         2.0601478289         3.3734338072        18.8933704889
        0.1100056000         5.0000000000         2.0907757512         3.4448863760        19.6912183796
        0.1150042000         5.0000000000         2.1316129809         3.5342020871        20.7550155672
        0.1200587000         5.0000000000         2.1418222883         3.6082065334        21.0209648641
        0.1250022000         5.0000000000         2.1418222883         3.6924184896        21.0209648641
        0.1300064000         5.0000000000         2.1545839226         3.7638710584        21.3534014853
        0.1350063000         5.0000000000         2.1647932300         3.8557386469        21.6193507822
        0.1400182000         5.0000000000         2.1545839226         3.9348468482        21.3534014853
        0.1450065000         5.0000000000         2.1877641717         4.0190588043        22.2177367002
        0.1500065000         5.0000000000         2.1826595180         4.1058226379        22.0847620518
        0.1550080000         5.0000000000         2.1903164986         4.1874827166        22.2842240244
        0.1600066000         5.0000000000         2.1877641717         4.2793503051        22.2177367002
        0.1650076000         5.0000000000         2.1826595180         4.3584585064        22.0847620518
        0.1700067000         5.0000000000         2.2005258060         4.4477742174        22.5501733213
        0.1750048000         5.0000000000         2.2005258060         4.5396418060        22.5501733213
        0.1800066000         5.0000000000         2.1852118449         4.6340612719        22.1512493760
        0.1850038000         5.0000000000         2.2107351134         4.7310326154        22.8161226183
        0.1900059000         5.0000000000         2.1979734792         4.8126926941        22.4836859971
        0.1950055000         5.0000000000         2.2132874403         4.9096640375        22.8826099425
        0.2000061000         5.0000000000         2.2030781329         4.9964278711        22.6166606456
        0.2050048000         5.0000000000         2.1979734792         5.0091872584        22.4836859971
        0.2100048000         5.0000000000         2.2107351134         1.1073666236        22.8161226183
        0.2150040000         5.0000000000         2.2030781329        -0.0052519485        22.6166606456
        0.2200067000         5.0000000000         2.1954211523         0.0330262134        22.4171986729
        0.2250042000         5.0000000000         2.2158397672         0.1351013117        22.9490972667
        0.2300054000         5.0000000000         2.2056304597         0.2218651453        22.6831479698
        0.2350057000         5.0000000000         2.2132874403         0.3188364888        22.8826099425
        0.2400050000         5.0000000000         2.2209444209         0.4107040773        23.0820719152
        0.2450035000         5.0000000000         2.1979734792         0.4847085236        22.4836859971
        0.2500050000         5.0000000000         2.2209444209         0.5893354994        23.0820719152
        0.2550038000         5.0000000000         2.2209444209         0.6658918232        23.0820719152
        0.2600057000         5.0000000000         2.2183920940         0.7603112892        23.0155845909
        0.2650046000         5.0000000000         2.2132874403         0.8496270002        22.8826099425
        0.2700058000         5.0000000000         2.2132874403         0.9363908338        22.8826099425
        0.2750051000         5.0000000000         2.2209444209         1.0282584224        23.0820719152
        0.2800190000         5.0000000000         2.2260490746         1.1175741334        23.2150465636
        0.2850038000         5.0000000000         2.2132874403         1.2094417220        22.8826099425
        0.2900058000         5.0000000000         2.2081827866         1.3013093105        22.7496352940
        0.2950041000         5.0000000000         2.2107351134         1.3804175117        22.8161226183
        0.3000064000         5.0000000000         2.2260490746         1.4748369777        23.2150465636
        0.3050045000         5.0000000000         2.2209444209         1.5564970564        23.0820719152
        0.3106865000         5.0000000000         2.2183920940         1.6636759097        23.0155845909
