% Motor Slew Rate Measurement - Continuous Step Sequence
% Segment length = 3.0 [sec]
% N_segments     = 20
% Duration       = 60.0 [sec]
% K_lin          = 8.127800 [(rad/s)/V]
% K_gimbal       = 26.049690 [(rad/s)/V]
% Vg_offset      = 1.336908 [V]
% p_cw           = [-2.621900, 30.449800, -63.426600]
% p_ccw          = [2.394600, 4.751300, -23.293900]
% Sequence (Vcmd per segment): +0.50 +0.00 -0.50 +0.00 +1.00 +0.00 -1.00 +0.00 +1.50 +0.00 -1.50 +0.00 +2.00 +0.00 -2.00 +0.00 +2.50 +0.00 -2.50 +0.00 

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
        0.0000097000         0.5000000000         2.9822687465         1.3301823480         0.1963463707        -0.1751940993         4.0639000000
        0.0289351000         0.5000000000         2.9822687465         1.3429439823         0.2065538806         0.1572425218         4.0639000000
        0.0301785000         0.5000000000         2.9822687465         1.3378393285         0.2014501257         0.0242678733         4.0639000000
        0.0312264000         0.5000000000         2.9822687465         1.3454963091         0.2091057580         0.2237298460         4.0639000000
        0.0323242000         0.5000000000         2.9822687465         1.3506009628         0.2091057580         0.3567044945         4.0639000000
        0.0333373000         0.5000000000         2.9822687465         1.3403916554         0.1963463707         0.0907551976         4.0639000000
        0.0344150000         0.5000000000         2.9822687465         1.3557056165         0.2014501257         0.4896791429         4.0639000000
        0.0358464000         0.5000000000         2.9822687465         1.3582579434         0.1988982482         0.5561664672         4.0639000000
        0.0400067000         0.5000000000         2.9822687465         1.3710195777         0.2014501257         0.8886030883         4.0639000000
        0.0450068000         0.5000000000         2.9822687465         1.3786765582         0.2040020031         1.0880650610         4.0639000000
        0.0500104000         0.5000000000         2.9822687465         1.3914381925         0.2167613904         1.4205016821         4.0639000000
        0.0550072000         0.5000000000         2.9822687465         1.4016475000         0.2218651453         1.6864509790         4.0639000000
        0.0600066000         0.5000000000         2.9822687465         1.4144091342         0.2269689002         2.0188876001         4.0639000000
        0.0650045000         0.5000000000         2.9822687465         1.4067521537         0.2346245326         1.8194256275         4.0639000000
        0.0700063000         0.5000000000         2.9822687465         1.4271707685         0.2448320425         2.3513242213         4.0639000000
        0.0750055000         0.5000000000         2.9822687465         1.4220661148         0.2524876748         2.2183495728         4.0639000000
        0.0800089000         0.5000000000         2.9822687465         1.4297230954         0.2626951847         2.4178115455         4.0639000000
        0.0850040000         0.5000000000         2.9822687465         1.4271707685         0.2754545720         2.3513242213         4.0639000000
        0.0900074000         0.5000000000         2.9822687465         1.4424847297         0.2805583269         2.7502481666         4.0639000000
        0.0950067000         0.5000000000         2.9822687465         1.4399324028         0.2907658367         2.6837608424         4.0639000000
        0.1000065000         0.5000000000         2.9822687465         1.4501417102         0.3086289789         2.9497101393         4.0639000000
        0.1050054000         0.5000000000         2.9822687465         1.4424847297         0.3086289789         2.7502481666         4.0639000000
        0.1100064000         0.5000000000         2.9822687465         1.4475893834         0.3315958761         2.8832228151         4.0639000000
        0.1150045000         0.5000000000         2.9822687465         1.4552463639         0.3392515084         3.0826847878         4.0639000000
        0.1200061000         0.5000000000         2.9822687465         1.4756649788         0.3494590183         3.6145833816         4.0639000000
