% K_lin=8.333100  p_cw=[-3.862900 39.921500 -80.250500]  p_ccw=[3.553400 1.935700 -22.689000]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]
        0.0004946000         0.0000776916         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.0054096000         0.0008497379         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.0104017000         0.0016338945         2.5000000000         1.3352870017         1.2094417220        -0.1003958596
        0.0153899000         0.0024174375         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.0204990000         0.0032199698         2.5000000000         1.3327346748         1.2017860896        -0.1668831838
        0.0253958000         0.0039891524         2.5000000000         1.3403916554         1.2094417220         0.0325787889
        0.0304663000         0.0047856169         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.0354789000         0.0055729837         2.5000000000         1.3429439823         1.2145454769         0.0990661131
        0.0404469000         0.0063533415         2.5000000000         1.3659149240         1.2094417220         0.6974520311
        0.0453915000         0.0071300197         2.5000000000         1.3352870017         1.2094417220        -0.1003958596
        0.0504803000         0.0079293439         2.5000000000         1.3327346748         1.2017860896        -0.1668831838
        0.0553905000         0.0087006096         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.0604163000         0.0094900278         2.5000000000         1.3429439823         1.2145454769         0.0990661131
        0.0653796000         0.0102696230         2.5000000000         1.3352870017         1.2094417220        -0.1003958596
        0.0703945000         0.0110573169         2.5000000000         1.3378393285         1.2068898445        -0.0339085354
        0.0754466000         0.0118508468         2.5000000000         1.3327346748         1.2043379670        -0.1668831838
        0.0804142000         0.0126310971         2.5000000000         1.3352870017         1.2094417220        -0.1003958596
        0.0853893000         0.0134125177         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.0905397000         0.0142214634         2.5000000000         1.3403916554         1.2094417220         0.0325787889
        0.0954056000         0.0149857157         2.5000000000         1.3352870017         1.2094417220        -0.1003958596
        0.1004049000         0.0157709110         2.5000000000         1.3454963091         1.2145454769         0.1655534373
        0.1054607000         0.0165649704         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.1105482000         0.0173639980         2.5000000000         1.3301823480         1.2043379670        -0.2333705080
        0.1153911000         0.0181245991         2.5000000000         1.3352870017         1.2094417220        -0.1003958596
        0.1209156000         0.0189922361         2.5000000000         1.3352870017         1.2094417220        -0.1003958596
        0.1254627000         0.0197063591         2.5000000000         1.3378393285         1.2094417220        -0.0339085354
        0.1304351000         0.0204872641         2.5000000000         1.3454963091         1.2145454769         0.1655534373
