% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]
        0.0005198000         0.0000816500         2.5000000000         1.3327346748         1.3217243302        -0.1346368316
        0.0141985000         0.0022302933         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.0155289000         0.0024392715         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.0169574000         0.0026636590         2.5000000000         1.3352870017         1.3293799625        -0.0681495073
        0.0204107000         0.0032060998         2.5000000000         1.3301823480         1.3242762076        -0.2011241558
        0.0255283000         0.0040099652         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.0303986000         0.0047749828         2.5000000000         1.3454963091         1.3344837175         0.1977997896
        0.0354641000         0.0055706590         2.5000000000         1.3327346748         1.3217243302        -0.1346368316
        0.0404937000         0.0063606926         2.5000000000         1.3352870017         1.3319318400        -0.0681495073
        0.0454901000         0.0071455074         2.5000000000         1.3327346748         1.3242762076        -0.1346368316
        0.0504644000         0.0079268464         2.5000000000         1.3301823480         1.3217243302        -0.2011241558
        0.0560678000         0.0088069956         2.5000000000         1.3506009628         1.3370355949         0.3307744380
        0.0604605000         0.0094969704         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.0654960000         0.0102879061         2.5000000000         1.3378393285         1.3319318400        -0.0016621831
        0.0704866000         0.0110717830         2.5000000000         1.3327346748         1.3242762076        -0.1346368316
        0.0754094000         0.0118450039         2.5000000000         1.3352870017         1.3293799625        -0.0681495073
        0.0804330000         0.0126340500         2.5000000000         1.3352870017         1.3293799625        -0.0681495073
        0.0854419000         0.0134207794         2.5000000000         1.3378393285         1.3319318400        -0.0016621831
        0.0904339000         0.0142048460         2.5000000000         1.3352870017         1.3293799625        -0.0681495073
        0.0954292000         0.0149894223         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.1004235000         0.0157738323         2.5000000000         1.3352870017         1.3242762076        -0.0681495073
        0.1057638000         0.0166125746         2.5000000000         1.3378393285         1.3319318400        -0.0016621831
        0.1103995000         0.0173406437         2.5000000000         1.3582579434         1.3293799625         0.5302364107
        0.1155009000         0.0181418436         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.1203912000         0.0189098783         2.5000000000         1.3352870017         1.3268280851        -0.0681495073
        0.1254375000         0.0197024015         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.1304614000         0.0204913945         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.1358892000         0.0213438047         2.5000000000         1.3378393285         1.3268280851        -0.0016621831
        0.1404367000         0.0220579561         2.5000000000         1.3352870017         1.3268280851        -0.0681495073
        0.1454274000         0.0228416959         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.1504240000         0.0236263481         2.5000000000         1.3454963091         1.3370355949         0.1977997896
        0.1554702000         0.0244187745         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.1604213000         0.0251962521         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.1654570000         0.0259869990         2.5000000000         1.3327346748         1.3242762076        -0.1346368316
        0.1704323000         0.0267682453         2.5000000000         1.3378393285         1.3319318400        -0.0016621831
        0.1754205000         0.0275515009         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.1804231000         0.0283370005         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.1854455000         0.0291255916         2.5000000000         1.3378393285         1.3268280851        -0.0016621831
        0.1904679000         0.0299141645         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.1954056000         0.0306894204         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.2003993000         0.0314734500         2.5000000000         1.3429439823         1.3344837175         0.1313124653
        0.2054908000         0.0322728145         2.5000000000         1.3327346748         1.3242762076        -0.1346368316
        0.2104220000         0.0330469924         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.2154214000         0.0338318571         2.5000000000         1.3429439823         1.3293799625         0.1313124653
        0.2204563000         0.0346222739         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.2254724000         0.0354097179         2.5000000000         1.3352870017         1.3293799625        -0.0681495073
        0.2304347000         0.0361886945         2.5000000000         1.3429439823         1.3344837175         0.1313124653
        0.2354749000         0.0369798772         2.5000000000         1.3301823480         1.3217243302        -0.2011241558
        0.2404909000         0.0377672382         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.2454476000         0.0385452678         2.5000000000         1.3301823480         1.3242762076        -0.2011241558
        0.2504096000         0.0393241059         2.5000000000         1.3301823480         1.3242762076        -0.2011241558
        0.2554959000         0.0401224294         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.2604691000         0.0409029765         2.5000000000         1.3352870017         1.3293799625        -0.0681495073
        0.2654260000         0.0416809404         2.5000000000         1.3352870017         1.3319318400        -0.0681495073
        0.2704608000         0.0424711046         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.2754600000         0.0432556553         2.5000000000         1.3378393285         1.3268280851        -0.0016621831
        0.2804565000         0.0440397557         2.5000000000         1.3378393285         1.3319318400        -0.0016621831
        0.2854606000         0.0448250216         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.2904418000         0.0456066664         2.5000000000         1.3301823480         1.3242762076        -0.2011241558
        0.2955195000         0.0464034251         2.5000000000         1.3378393285         1.3293799625        -0.0016621831
        0.3004771000         0.0471813101         2.5000000000         1.3352870017         1.3293799625        -0.0681495073
        0.3054121000         0.0479556205         2.5000000000         1.3301823480         1.3242762076        -0.2011241558
        0.3104541000         0.0487466897         2.5000000000         1.3352870017         1.3293799625        -0.0681495073
        0.3154074000         0.0495238124         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.3204847000         0.0503203584         2.5000000000         1.3327346748         1.3242762076        -0.1346368316
        0.3254852000         0.0511048244         2.5000000000         1.3378393285         1.3319318400        -0.0016621831
        0.3304483000         0.0518833920         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.3354577000         0.0526691907         2.5000000000         1.3429439823         1.3370355949         0.1313124653
        0.3404568000         0.0534533413         2.5000000000         1.3352870017         1.3319318400        -0.0681495073
