% Motor Sine Wave Linearization Verification
% Amplitude    = 2.0000 [V]
% Frequency    = 0.025000 [Hz]
% Period       = 40.0000 [sec]
% Cycles       = 1
% Duration     = 40.0000 [sec]
% K_lin        = 8.333100 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.335874 [V]
% p_cw         = [-3.862900, 39.921500, -80.250500]
% p_ccw        = [3.553400, 1.935700, -22.689000]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
        0.0000426000         0.0000133832         2.5000000000         1.3301823480        -0.0052519485        -0.1482667330         0.0001115234
        0.0050113000         0.0015743462         2.5000000000         1.3301823480        -0.0052519485        -0.1482667330         0.0131191840
        0.0100184000         0.0031473719         2.5000000000         1.3403916554         0.0075074388         0.1176825639         0.0262273647
        0.0150097000         0.0047154320         2.5000000000         1.3327346748        -0.0052519485        -0.0817794088         0.0392941660
        0.0200046000         0.0062846201         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.0523703677
        0.0250071000         0.0078561920         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.0654664332
        0.0300097000         0.0094277904         2.5000000000         1.3352870017        -0.0001481936        -0.0152920846         0.0785627201
        0.0350078000         0.0109979693         2.5000000000         1.3301823480        -0.0027000711        -0.1482667330         0.0916471780
        0.0400064000         0.0125682985         2.5000000000         1.3327346748        -0.0052519485        -0.0817794088         0.1047328883
        0.0450071000         0.0141392797         2.5000000000         1.3352870017        -0.0001481936        -0.0152920846         0.1178240316
        0.0500048000         0.0157093097         2.5000000000         1.3403916554         0.0075074388         0.1176825639         0.1309072486
        0.0550080000         0.0172810578         2.5000000000         1.3352870017        -0.0001481936        -0.0152920846         0.1440047830
        0.0600039000         0.0188505020         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.1570831185
        0.0650068000         0.0204221336         2.5000000000         1.3429439823         0.0100593162         0.1841698881         0.1701796817
        0.0700043000         0.0219920562         2.5000000000         1.3352870017        -0.0001481936        -0.0152920846         0.1832620039
        0.0750071000         0.0235636302         2.5000000000         1.3327346748         0.0024036839        -0.0817794088         0.1963580872
        0.0800058000         0.0251339017         2.5000000000         1.3352870017        -0.0001481936        -0.0152920846         0.2094433166
        0.0850070000         0.0267049431         2.5000000000         1.3301823480        -0.0052519485        -0.1482667330         0.2225349611
        0.0900039000         0.0282746172         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.2356152124
        0.0950046000         0.0298454675         2.5000000000         1.3480486360         0.0024036839         0.3171445366         0.2487052654
        0.1000046000         0.0314160796         2.5000000000         1.3327346748        -0.0052519485        -0.0817794088         0.2617933327
        0.1050047000         0.0329867037         2.5000000000         1.3429439823         0.0075074388         0.1841698881         0.2748815003
        0.1100045000         0.0345572132         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.2879687130
        0.1150127000         0.0361303399         2.5000000000         1.3301823480        -0.0052519485        -0.1482667330         0.3010777351
        0.1200077000         0.0376992980         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.3141520204
        0.1250154000         0.0392722220         2.5000000000         1.3403916554         0.0049555613         0.1176825639         0.3272593535
        0.1300063000         0.0408398450         2.5000000000         1.3403916554         0.0075074388         0.1176825639         0.3403225122
        0.1350074000         0.0424106465         2.5000000000         1.3327346748         0.0024036839        -0.0817794088         0.3534121585
        0.1400072000         0.0439810136         2.5000000000         1.3301823480        -0.0052519485        -0.1482667330         0.3664981843
        0.1450123000         0.0455530181         2.5000000000         1.3352870017        -0.0001481936        -0.0152920846         0.3795978554
        0.1500090000         0.0471223563         2.5000000000         1.3352870017        -0.0001481936        -0.0152920846         0.3926753074
        0.1550161000         0.0486949318         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.4057797358
        0.1600113000         0.0502637398         2.5000000000         1.3429439823         0.0075074388         0.1841698881         0.4188527698
        0.1650056000         0.0518322342         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.4319231906
        0.1700069000         0.0534028950         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.4450116645
        0.1750069000         0.0549731147         2.5000000000         1.3352870017        -0.0001481936        -0.0152920846         0.4580964617
        0.1800083000         0.0565437400         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.4711846400
        0.1850060000         0.0581131686         2.5000000000         1.3301823480        -0.0052519485        -0.1482667330         0.4842628452
        0.1900120000         0.0596851677         2.5000000000         1.3352870017         0.0024036839        -0.0152920846         0.4973624710
        0.1950061000         0.0612533932         2.7601945252         1.3276300211        -0.0027000711        -0.2147540573         0.5104306507
        0.2406319000         0.0755787412         2.7666222022         1.3352870017         0.0024036839        -0.0152920846         0.6298052079
        0.2423728000         0.0761252675         2.7668677653         1.3429439823         0.0075074388         0.1841698881         0.6343594669
        0.2441703000         0.0766895566         2.7671213359         1.3429439823         0.0075074388         0.1841698881         0.6390617438
        0.2456126000         0.0771423333         2.7673248163         1.3429439823         0.0075074388         0.1841698881         0.6428347774
        0.2469419000         0.0775596327         2.7675123684         1.3352870017         0.0024036839        -0.0152920846         0.6463121755
        0.2482934000         0.0779838978         2.7677030661         1.3352870017         0.0024036839        -0.0152920846         0.6498476192
        0.2496877000         0.0784215951         2.7678998172         1.3352870017        -0.0001481936        -0.0152920846         0.6534949943
        0.2511467000         0.0788795989         2.7681057136         1.3352870017         0.0024036839        -0.0152920846         0.6573115859
        0.2526856000         0.0793626802         2.7683229028         1.3352870017         0.0024036839        -0.0152920846         0.6613371501
        0.2551409000         0.0801334220         2.7686694624         1.3352870017         0.0024036839        -0.0152920846         0.6677598185
        0.2564865000         0.0805558134         2.7688594095         1.3378393285         0.0024036839         0.0511952397         0.6712796488
        0.2578834000         0.0809943044         2.7690566124         1.3301823480        -0.0027000711        -0.1482667330         0.6749336383
        0.2600172000         0.0816641030         2.7693578728         1.3352870017         0.0024036839        -0.0152920846         0.6805151366
        0.2650081000         0.0832307076         2.7700626442         1.3352870017         0.0024036839        -0.0152920846         0.6935698094
        0.2700120000         0.0848013414         2.7707694363         1.3378393285        -0.0001481936         0.0511952397         0.7066580583
        0.2750073000         0.0863692236         2.7714751981         1.3352870017         0.0024036839        -0.0152920846         0.7197233775
        0.2800062000         0.0879381825         2.7721816528         1.3429439823        -0.0052519485         0.1841698881         0.7327976689
        0.2850080000         0.0895079974         2.7728887014         1.3786765582        -0.0052519485         1.1149924273         0.7458790929
        0.2900099000         0.0910777883         2.7735959482         1.3659149240         0.0024036839         0.7825558061         0.7589603180
        0.2950058000         0.0926456401         2.7743025299         1.3888858657        -0.0052519485         1.3809417242         0.7720253839
        0.3000099000         0.0942160081         2.7750104548         1.3837812120        -0.0001481936         1.2479670757         0.7851114175
        0.3050257000         0.0957899894         2.7757202189         1.3761242314         0.0024036839         1.0485051031         0.7982275605
        0.3100090000         0.0973537131         2.7764255661         1.3761242314         0.0024036839         1.0485051031         0.8112582264
        0.3150067000         0.0989218955         2.7771331335         1.3812288851        -0.0001481936         1.1814797515         0.8243260472
        0.3200073000         0.1004909268         2.7778412936         1.3837812120         0.0075074388         1.2479670757         0.8374009423
        0.3250053000         0.1020590804         2.7785492674         1.3837812120         0.0049555613         1.2479670757         0.8504685231
        0.3300035000         0.1036272339         2.7792574510         1.3735719045         0.0075074388         0.9820177788         0.8635361025
        0.3350051000         0.1051963901         2.7799662977         1.3812288851         0.0202668261         1.1814797515         0.8766120383
        0.3400027000         0.1067642265         2.7806747585         1.3812288851         0.0177149486         1.1814797515         0.8896769762
        0.3450048000         0.1083334088         2.7813840381         1.3786765582         0.0228187035         1.1149924273         0.9027531292
        0.3500052000         0.1099019910         2.7820932572         1.3735719045         0.0202668261         0.9820177788         0.9158242811
        0.3550071000         0.1114709758         2.7828028694         1.3837812120         0.0330262134         1.2479670757         0.9288987887
        0.3600037000         0.1130382295         2.7835119096         1.3735719045         0.0279224584         0.9820177788         0.9419588702
        0.3650068000         0.1146074522         2.7842220519         1.3710195777         0.0330262134         0.9155304546         0.9550353599
        0.3700049000         0.1161750360         2.7849316638         1.3761242314         0.0355780908         1.0485051031         0.9680981923
        0.3750064000         0.1177436144         2.7856419377         1.3710195777         0.0534412330         0.9155304546         0.9811693134
        0.3800062000         0.1193115871         2.7863521490         1.3837812120         0.0534412330         1.2479670757         0.9942353865
        0.3850059000         0.1208794548         2.7870625247         1.3735719045         0.0585449879         0.9820177788         1.0073005849
        0.3900030000         0.1224464327         2.7877727091         1.3812288851         0.0610968654         1.1814797515         1.0203583682
        0.3950052000         0.1240149343         2.7884837964         1.3735719045         0.0585449879         0.9820177788         1.0334288486
        0.4000036000         0.1255821678         2.7891945212         1.3761242314         0.0662006203         1.0485051031         1.0464887625
        0.4050067000         0.1271507975         2.7899060919         1.3735719045         0.0687524978         0.9820177788         1.0595603106
        0.4100048000         0.1287177811         2.7906171286         1.3837812120         0.0764081302         1.2479670757         1.0726181418
        0.4150104000         0.1302870366         2.7913294094         1.3735719045         0.0764081302         0.9820177788         1.0856949046
        0.4200051000         0.1318527946         2.7920403156         1.3837812120         0.0917193949         1.2479670757         1.0987425229
        0.4250065000         0.1334205717         2.7927523518         1.3812288851         0.0968231498         1.1814797515         1.1118069659
        0.4300042000         0.1349871067         2.7934640372         1.3761242314         0.0968231498         1.0485051031         1.1248610585
        0.4350078000         0.1365554077         2.7941767387         1.3735719045         0.0942712724         0.9820177788         1.1379298675
        0.4400075000         0.1381224020         2.7948890602         1.3786765582         0.1146862920         1.1149924273         1.1509877881
        0.4450116000         0.1396906901         2.7956021841         1.3761242314         0.1121344146         1.0485051031         1.1640564895
        0.4500060000         0.1412558521         2.7963141003         1.3888858657         0.1197900470         1.3809417242         1.1770991412
        0.4550154000         0.1428256276         2.7970283297         1.3837812120         0.1172381695         1.2479670757         1.1901802370
        0.4600092000         0.1443904265         2.7977405091         1.3837812120         0.1274456793         1.2479670757         1.2032198630
        0.4650139000         0.1459585518         2.7984544173         1.3939905194         0.1351013117         1.5139163726         1.2162872078
        0.4700461000         0.1475352027         2.7991724238         1.3786765582         0.1299975568         1.1149924273         1.2294255976
        0.4750084000         0.1490898628         2.7998806289         1.3914381925         0.1453088216         1.4474290484         1.2423807358
        0.4800101000         0.1506567750         2.8005946297         1.3888858657         0.1453088216         1.3809417242         1.2554379722
        0.4850085000         0.1522225606         2.8013083324         1.3990951731         0.1529644539         1.6468910211         1.2684858195
        0.4900056000         0.1537878451         2.8020220220         1.3888858657         0.1555163314         1.3809417242         1.2815294917
        0.4950101000         0.1553553526         2.8027369410         1.3965428462         0.1682757187         1.5804036969         1.2945916884
        0.5000075000         0.1569205404         2.8034510177         1.3965428462         0.1708275961         1.5804036969         1.3076345551
        0.5050170000         0.1584894209         2.8041669957         1.3863335388         0.1733794736         1.3144544000         1.3207081933
        0.5100062000         0.1600518463         2.8048802435         1.3888858657         0.1784832285         1.3809417242         1.3337280403
        0.5150149000         0.1616202795         2.8055964505         1.3863335388         0.1835869834         1.3144544000         1.3467979507
        0.5200066000         0.1631832897         2.8063103973         1.3939905194         0.1937944933         1.5139163726         1.3598226712
        0.5250115000         0.1647503324         2.8070264028         1.3914381925         0.1963463707         1.4474290484         1.3728809947
        0.5300175000         0.1663176176         2.8077427365         1.3786765582         0.1937944933         1.1149924273         1.3859413395
        0.5350060000         0.1678793217         2.8084567356         1.3914381925         0.2040020031         1.4474290484         1.3989551754
        0.5403149000         0.1695412171         2.8092167789         1.3837812120         0.2065538806         1.2479670757         1.4128039166
        0.5450066000         0.1710098065         2.8098886205         1.3888858657         0.2167613904         1.3809417242         1.4250418189
        0.5500603000         0.1725916047         2.8106124665         1.3965428462         0.2244170228         1.5804036969         1.4382231014
        0.5550044000         0.1741389931         2.8113207813         1.3684672508         0.2193132679         0.8490431304         1.4511176435
        0.5600094000         0.1757053348         2.8120379890         1.3990951731         0.2397282875         1.6468910211         1.4641701253
        0.5650117000         0.1772707230         2.8127549783         1.3914381925         0.2397282875         1.4474290484         1.4772146615
        0.5700137000         0.1788359078         2.8134720929         1.3965428462         0.2448320425         1.5804036969         1.4902575035
        0.5750086000         0.1803987608         2.8141883571         1.3863335388         0.2499357974         1.3144544000         1.5032809139
        0.5800069000         0.1819625665         2.8149052763         1.3965428462         0.2575914298         1.5804036969         1.5163122630
        0.5850112000         0.1835281370         2.8156232234         1.3965428462         0.2677989396         1.5804036969         1.5293583187
        0.5900137000         0.1850930311         2.8163410795         1.3965428462         0.2703508170         1.5804036969         1.5423987373
        0.5950065000         0.1866547768         2.8170577099         1.3965428462         0.2729026945         1.5804036969         1.5554129205
        0.6000112000         0.1882201296         2.8177762148         1.4067521537         0.2882139593         1.8463529938         1.5684571620
        0.6050044000         0.1897817696         2.8184932345         1.3965428462         0.2856620818         1.5804036969         1.5814704640
        0.6100116000         0.1913476708         2.8192124307         1.3965428462         0.2907658367         1.5804036969         1.5945192758
        0.6150048000         0.1929090760         2.8199297812         1.3990951731         0.2984214691         1.6468910211         1.6075306213
        0.6200136000         0.1944752402         2.8206495385         1.3914381925         0.2984214691         1.4474290484         1.6205816238
        0.6250108000         0.1960376572         2.8213677937         1.3939905194         0.3060771015         1.5139163726         1.6336014015
        0.6300111000         0.1976009227         2.8220866591         1.3863335388         0.3111808564         1.3144544000         1.6466282486
        0.6350093000         0.1991634097         2.8228053868         1.4016475000         0.3264921211         1.7133783453         1.6596486095
        0.6400127000         0.2007273994         2.8235250264         1.4041998268         0.3341477535         1.7798656695         1.6726814918
        0.6450095000         0.2022892022         2.8242438804         1.4016475000         0.3418033859         1.7133783453         1.6856961512
        0.6500046000         0.2038503492         2.8249626529         1.3965428462         0.3418033859         1.5804036969         1.6987053449
        0.6550057000         0.2054132456         2.8256824519         1.3914381925         0.3418033859         1.4474290484         1.7117291172
        0.6600050000         0.2069754529         2.8264021547         1.4041998268         0.3571146507         1.7798656695         1.7247471463
        0.6650054000         0.2085378761         2.8271221785         1.3888858657         0.3596665281         1.3809417242         1.7377669757
        0.6700134000         0.2101025452         2.8278434592         1.4144091342         0.3724259154         2.0458149665         1.7508055191
        0.6750129000         0.2116644288         2.8285636777         1.3863335388         0.3749777929         1.3144544000         1.7638208517
        0.6800114000         0.2132258696         2.8292839139         1.4041998268         0.3800815478         1.7798656695         1.7768324936
        0.6850044000         0.2147854610         2.8300035185         1.3888858657         0.3826334252         1.3809417242         1.7898287247
        0.6900083000         0.2163483245         2.8307248552         1.4093044805         0.4004965675         1.9128403180         1.8028522228
        0.6950061000         0.2179091494         2.8314454733         1.4118568074         0.4030484449         1.9793276422         1.8158587328
        0.7000118000         0.2194723069         2.8321673912         1.4093044805         0.4132559548         1.9128403180         1.8288846804
        0.7050073000         0.2210321439         2.8328879982         1.4067521537         0.4183597097         1.8463529938         1.8418829580
        0.7100111000         0.2225944361         2.8336099624         1.4067521537         0.4285672195         1.8463529938         1.8549016953
        0.7150055000         0.2241536563         2.8343307298         1.4016475000         0.4260153420         1.7133783453         1.8678948332
        0.7200122000         0.2257165780         2.8350534318         1.4041998268         0.4336709744         1.7798656695         1.8809188162
        0.7250063000         0.2272754274         2.8357744738         1.4016475000         0.4413266068         1.7133783453         1.8939088637
        0.7300069000         0.2288361655         2.8364966130         1.3965428462         0.4413266068         1.5804036969         1.9069146504
        0.7350100000         0.2303975425         2.8372192717         1.4041998268         0.4540859941         1.7798656695         1.9199257618
        0.7400157000         0.2319595886         2.8379424644         1.3990951731         0.4617416265         1.6468910211         1.9329424480
