% Motor Sine Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 40.0000 [sec]
% Frequency    = 0.025000 [Hz]
% Cycles       = 5
% Duration     = 200.0000 [sec]
% K_lin        = 8.127800 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.337023 [V]
% p_cw         = [-2.621900, 30.449800, -63.426600]
% p_ccw        = [2.394600, 4.751300, -23.293900]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
        0.0001169000         0.0000459065         2.5000000000         1.3301823480         2.9345108842        -0.1781860289         0.0003731190
        0.0362629000         0.0142403305         2.5000000000         1.3378393285         2.9447183941         0.0212759438         0.1157425584
        0.0374104000         0.0146909452         2.5000000000         1.3276300211         2.9345108842        -0.2446733532         0.1194050642
        0.0386486000         0.0151771765         2.5000000000         1.3352870017         2.9370627617        -0.0452113805         0.1233570552
        0.0400368000         0.0157223110         2.5000000000         1.3352870017         2.9370627617        -0.0452113805         0.1277877990
        0.0412652000         0.0162046927         2.5000000000         1.3429439823         2.9472702715         0.1542505922         0.1317085011
        0.0425852000         0.0167230442         2.5000000000         1.3352870017         2.9396146392        -0.0452113805         0.1359215588
        0.0437958000         0.0171984348         2.5000000000         1.3403916554         2.9447183941         0.0877632680         0.1397854382
        0.0452032000         0.0177511060         2.5000000000         1.3454963091         2.9472702715         0.2207379164         0.1442774391
        0.0466492000         0.0183189341         2.5000000000         1.3301823480         2.9345108842        -0.1781860289         0.1488926323
        0.0500150000         0.0196406425         2.5000000000         1.3429439823         2.9447183941         0.1542505922         0.1596352143
        0.0550099000         0.0216020684         2.5000000000         1.3352870017         2.9421665166        -0.0452113805         0.1755772915
        0.0600061000         0.0235639914         2.5000000000         1.3352870017         2.9396146392        -0.0452113805         0.1915234096
        0.0650063000         0.0255274707         2.5000000000         1.3429439823         2.9447183941         0.1542505922         0.2074821763
        0.0700157000         0.0274945468         2.5000000000         1.3378393285         2.9396146392         0.0212759438         0.2234701776
        0.0750081000         0.0294549305         2.5000000000         1.3276300211         2.9345108842        -0.2446733532         0.2394037840
        0.0800056000         0.0314172987         2.5000000000         1.3301823480         2.9345108842        -0.1781860289         0.2553535200
        0.0850083000         0.0333816893         2.5000000000         1.3352870017         2.9370627617        -0.0452113805         0.2713196944
        0.0900070000         0.0353444887         2.5000000000         1.3403916554         2.9447183941         0.0877632680         0.2872729354
        0.0950081000         0.0373082087         2.5000000000         1.3301823480         2.9319590068        -0.1781860289         0.3032336587
        0.1000053000         0.0392703743         2.5000000000         1.3378393285         2.9421665166         0.0212759438         0.3191817485
        0.1050081000         0.0412347146         2.5000000000         1.3352870017         2.9396146392        -0.0452113805         0.3351475131
        0.1100054000         0.0431968698         2.5000000000         1.3276300211         2.9345108842        -0.2446733532         0.3510955186
        0.1150072000         0.0451607653         2.5000000000         1.3301823480         2.9345108842        -0.1781860289         0.3670576685
        0.1200045000         0.0471228661         2.5000000000         1.3301823480         2.9345108842        -0.1781860289         0.3830052313
        0.1250058000         0.0490865084         2.5000000000         1.3429439823         2.9447183941         0.1542505922         0.3989653227
        0.1300035000         0.0510487069         2.5000000000         1.3378393285         2.9396146392         0.0212759438         0.4149136799
        0.1350048000         0.0530122874         2.5000000000         1.3301823480         2.9345108842        -0.1781860289         0.4308732692
        0.1400034000         0.0549747751         2.5000000000         1.3378393285         2.9396146392         0.0212759438         0.4468239769
        0.1450045000         0.0569382104         2.5000000000         1.3429439823         2.9472702715         0.1542505922         0.4627823865
        0.1500027000         0.0589004721         2.5000000000         1.3352870017         2.9421665166        -0.0452113805         0.4787312570
        0.1550048000         0.0608642285         2.5000000000         1.3352870017         2.9396146392        -0.0452113805         0.4946922765
        0.1600041000         0.0628268482         2.7517730631         1.3429439823         2.9447183941         0.1542505922         0.5106440565
        0.2052757000         0.0805976107         2.7608024322         1.3327346748         2.9345108842        -0.1116987047         0.6550812606
        0.2065191000         0.0810856374         2.7610507774         1.3301823480         2.9345108842        -0.1781860289         0.6590478439
        0.2077490000         0.0815683624         2.7612964447         1.3352870017         2.9396146392        -0.0452113805         0.6629713360
        0.2089286000         0.0820313422         2.7615320819         1.3403916554         2.9396146392         0.0877632680         0.6667343432
        0.2103905000         0.0826051177         2.7618241347         1.3378393285         2.9396146392         0.0212759438         0.6713978756
        0.2116634000         0.0831047098         2.7620784509         1.3378393285         2.9370627617         0.0212759438         0.6754584600
        0.2129952000         0.0836274155         2.7623445557         1.3327346748         2.9345108842        -0.1116987047         0.6797069080
        0.2143319000         0.0841520408         2.7626116612         1.3352870017         2.9396146392        -0.0452113805         0.6839709571
