% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]
        0.0004564000         0.0000456400         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.0133410000         0.0013341000         2.5000000000         1.3301823480         2.5721442851        -0.1948078600
        0.0147356000         0.0014735600         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.0163222000         0.0016322200         2.5000000000         1.3327346748         2.5670405302        -0.1283205358
        0.0204327000         0.0020432700         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.0254145000         0.0025414500         2.5000000000         1.3403916554         2.5772480400         0.0711414369
        0.0304287000         0.0030428700         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.0354156000         0.0035415600         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.0404055000         0.0040405500         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.0453909000         0.0045390900         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.0503873000         0.0050387300         2.5000000000         1.3352870017         2.5772480400        -0.0618332115
        0.0554005000         0.0055400500         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.0604932000         0.0060493200         2.5000000000         1.3301823480         2.5670405302        -0.1948078600
        0.0654035000         0.0065403500         2.5000000000         1.3327346748         2.5644886527        -0.1283205358
        0.0704244000         0.0070424400         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.0755616000         0.0075561600         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.0803957000         0.0080395700         2.5000000000         1.3429439823         2.5746961625         0.1376287611
        0.0854461000         0.0085446100         2.5000000000         1.3301823480         2.5644886527        -0.1948078600
        0.0904133000         0.0090413300         2.5000000000         1.3327346748         2.5644886527        -0.1283205358
        0.0957094000         0.0095709400         2.5000000000         1.3403916554         2.5772480400         0.0711414369
        0.1004259000         0.0100425900         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.1054084000         0.0105408400         2.5000000000         1.3454963091         2.5772480400         0.2041160854
        0.1104098000         0.0110409800         2.5000000000         1.3327346748         2.5644886527        -0.1283205358
        0.1154452000         0.0115445200         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.1204293000         0.0120429300         2.5000000000         1.3352870017         2.5772480400        -0.0618332115
        0.1253958000         0.0125395800         2.5000000000         1.3327346748         2.5644886527        -0.1283205358
        0.1304412000         0.0130441200         2.5000000000         1.3378393285         2.5670405302         0.0046541127
        0.1354152000         0.0135415200         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.1404549000         0.0140454900         2.5000000000         1.3327346748         2.5670405302        -0.1283205358
        0.1454781000         0.0145478100         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.1503932000         0.0150393200         2.5000000000         1.3327346748         2.5644886527        -0.1283205358
        0.1554790000         0.0155479000         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.1604022000         0.0160402200         2.5000000000         1.3352870017         2.5721442851        -0.0618332115
        0.1653876000         0.0165387600         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.1703878000         0.0170387800         2.5000000000         1.3378393285         2.5721442851         0.0046541127
        0.1754033000         0.0175403300         2.5000000000         1.3454963091         2.5772480400         0.2041160854
        0.1804197000         0.0180419700         2.5000000000         1.3352870017         2.5695924076        -0.0618332115
        0.1854256000         0.0185425600         2.5000000000         1.3735719045         2.5695924076         0.9354766519
        0.1903885000         0.0190388500         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.1953989000         0.0195398900         2.5000000000         1.3429439823         2.5772480400         0.1376287611
        0.2003853000         0.0200385300         2.5000000000         1.3378393285         2.5695924076         0.0046541127
        0.2053880000         0.0205388000         2.5000000000         1.3301823480         2.5644886527        -0.1948078600
