% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.0005907000         0.0000590700         2.5000000000         1.3378393285         4.7948295519         0.0216083804         0.0004746452
        0.0055139000         0.0005513900         2.5000000000         1.3301823480         4.7897257969        -0.1778535923         0.0044305841
        0.0103982000         0.0010398200         2.5000000000         1.3301823480         4.7922776744        -0.1778535923         0.0083552657
        0.0154215000         0.0015421500         2.5000000000         1.3352870017         4.7999333068        -0.0448789439         0.0123916379
        0.0204131000         0.0020413100         2.5000000000         1.3327346748         4.7922776744        -0.1113662681         0.0164025382
        0.0253880000         0.0025388000         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.0204000196
        0.0303981000         0.0030398100         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.0244257853
        0.0353990000         0.0035399000         2.5000000000         1.3301823480         4.7871739195        -0.1778535923         0.0284441585
        0.0404099000         0.0040409900         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.0324705669
        0.0453900000         0.0045390000         2.5000000000         1.3378393285         4.7948295519         0.0216083804         0.0364722267
        0.0503957000         0.0050395700         2.5000000000         1.3352870017         4.7999333068        -0.0448789439         0.0404944568
        0.0553963000         0.0055396300         2.5000000000         1.3480486360         4.7973814293         0.2875576773         0.0445125889
        0.0604105000         0.0060410500         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.0485416491
        0.0653850000         0.0065385000         2.5000000000         1.3352870017         4.7948295519        -0.0448789439         0.0525388091
        0.0704117000         0.0070411700         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.0565779133
        0.0754165000         0.0075416500         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.0605994203
        0.0803943000         0.0080394300         2.5000000000         1.3352870017         4.7999333068        -0.0448789439         0.0645992319
        0.0854205000         0.0085420500         2.5000000000         1.3327346748         4.7922776744        -0.1113662681         0.0686379344
        0.0903928000         0.0090392800         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.0726333266
        0.0953866000         0.0095386600         2.5000000000         1.3659149240         4.7973814293         0.7529689469         0.0766459947
        0.1003993000         0.0100399300         2.5000000000         1.3429439823         4.8050370617         0.1545830288         0.0806738495
        0.1053904000         0.0105390400         2.5000000000         1.3301823480         4.7897257969        -0.1778535923         0.0846843481
        0.1103903000         0.0110390300         2.5000000000         1.3403916554         4.8024851842         0.0880957046         0.0887019178
        0.1153878000         0.0115387800         2.5000000000         1.3301823480         4.7922776744        -0.1778535923         0.0927175589
        0.1203925000         0.0120392500         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.0967389855
        0.1253894000         0.0125389400         2.5000000000         1.3352870017         4.7922776744        -0.0448789439         0.1007541446
        0.1304112000         0.0130411200         2.5000000000         1.3301823480         4.7922776744        -0.1778535923         0.1047893115
        0.1354610000         0.0135461000         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.1088469773
        0.1404002000         0.0140400200         2.5000000000         1.3327346748         4.7897257969        -0.1113662681         0.1128157727
        0.1453895000         0.0145389500         2.5000000000         1.3352870017         4.7948295519        -0.0448789439         0.1168248249
        0.1504047000         0.0150404700         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.1208546886
        0.1554841000         0.0155484100         2.5000000000         1.3301823480         4.7922776744        -0.1778535923         0.1249361389
        0.1603969000         0.0160396900         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.1288837211
        0.1653844000         0.0165384400         2.5000000000         1.3454963091         4.7922776744         0.2210703531         0.1328913269
        0.1704647000         0.0170464700         2.5000000000         1.3301823480         4.7922776744        -0.1778535923         0.1369735004
        0.1754212000         0.0175421200         2.5000000000         1.3403916554         4.8024851842         0.0880957046         0.1409561968
        0.1803848000         0.0180384800         2.5000000000         1.3327346748         4.7922776744        -0.1113662681         0.1449445983
        0.1854282000         0.0185428200         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.1489971215
        0.1903977000         0.0190397700         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.1529902639
        0.1954209000         0.0195420900         2.5000000000         1.3352870017         4.7948295519        -0.0448789439         0.1570265558
        0.2004249000         0.0200424900         2.5000000000         1.3301823480         4.7897257969        -0.1778535923         0.1610474199
        0.2054294000         0.0205429400         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.1650686858
        0.2104549000         0.0210454900         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.1691068258
        0.2154483000         0.0215448300         2.5000000000         1.3454963091         4.8050370617         0.2210703531         0.1731191725
        0.2204704000         0.0220470400         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.1771545805
        0.2254315000         0.0225431500         2.5000000000         1.3403916554         4.8024851842         0.0880957046         0.1811409732
        0.2305033000         0.0230503300         2.5000000000         1.3327346748         4.7948295519        -0.1113662681         0.1852163166
        0.2354515000         0.0235451500         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.1891923438
        0.2404607000         0.0240460700         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.1932173863
        0.2453809000         0.0245380900         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.1971709146
        0.2504524000         0.0250452400         2.5000000000         1.3378393285         4.7948295519         0.0216083804         0.2012460170
        0.2554446000         0.0255444600         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.2052573994
        0.2606066000         0.0260606600         2.5000000000         1.3301823480         4.7897257969        -0.1778535923         0.2094052213
        0.2654488000         0.0265448800         2.5000000000         1.3454963091         4.8024851842         0.2210703531         0.2132960743
        0.2704099000         0.0270409900         2.5000000000         1.3403916554         4.7948295519         0.0880957046         0.2172824670
        0.2753938000         0.0275393800         2.5000000000         1.3301823480         4.7922776744        -0.1778535923         0.2212871801
        0.2803870000         0.0280387000         2.5000000000         1.3403916554         4.8024851842         0.0880957046         0.2252993661
        0.2853892000         0.0285389200         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.2293187839
        0.2904147000         0.0290414700         2.5000000000         1.3352870017         4.7897257969        -0.0448789439         0.2333569239
        0.2954062000         0.0295406200         2.5000000000         1.3454963091         4.8024851842         0.2210703531         0.2373677439
        0.3003859000         0.0300385900         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.2413690822
        0.3054124000         0.0305412400         2.5000000000         1.3429439823         4.7973814293         0.1545830288         0.2454080258
        0.3104209000         0.0310420900         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.2494325058
        0.3153983000         0.0315398300         2.5000000000         1.3352870017         4.7948295519        -0.0448789439         0.2534319960
        0.3204045000         0.0320404500         2.5000000000         1.3352870017         4.7897257969        -0.0448789439         0.2574546279
        0.3253982000         0.0325398200         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.2614672157
        0.3303849000         0.0330384900         2.5000000000         1.3429439823         4.8050370617         0.1545830288         0.2654741787
        0.3354645000         0.0335464500         2.5000000000         1.3276300211         4.7897257969        -0.2443409165         0.2695557897
        0.3404256000         0.0340425600         2.5000000000         1.3327346748         4.7897257969        -0.1113662681         0.2735421824
        0.3454679000         0.0345467900         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.2775938217
        0.3504007000         0.0350400700         2.5000000000         1.3352870017         4.7999333068        -0.0448789439         0.2815574745
        0.3554233000         0.0355423300         2.5000000000         1.3378393285         4.7922776744         0.0216083804         0.2855932842
        0.3603803000         0.0360380300         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.2895763825
        0.3654085000         0.0365408500         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.2936166920
        0.3704502000         0.0370450200         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.2976678492
        0.3754607000         0.0375460700         2.5000000000         1.3429439823         4.8050370617         0.1545830288         0.3016939363
        0.3803868000         0.0380386800         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.3056522054
        0.3854124000         0.0385412400         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.3096904258
        0.3904207000         0.0390420700         2.5000000000         1.3378393285         4.7948295519         0.0216083804         0.3137147451
        0.3954089000         0.0395408900         2.5000000000         1.3403916554         4.8024851842         0.0880957046         0.3177229134
        0.4004229000         0.0400422900         2.5000000000         1.3352870017         4.7948295519        -0.0448789439         0.3217518128
        0.4054513000         0.0405451300         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.3257922831
        0.4104163000         0.0410416300         2.5000000000         1.3352870017         4.7948295519        -0.0448789439         0.3297818095
        0.4153877000         0.0415387700         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.3337764786
        0.4204014000         0.0420401400         2.5000000000         1.3327346748         4.7897257969        -0.1113662681         0.3378051369
        0.4253931000         0.0425393100         2.5000000000         1.3301823480         4.7922776744        -0.1778535923         0.3418161176
        0.4304263000         0.0430426300         2.5000000000         1.3378393285         4.7973814293         0.0216083804         0.3458604448
        0.4354101000         0.0435410100         2.5000000000         1.3327346748         4.7973814293        -0.1113662681         0.3498650777
        0.4403823000         0.0440382300         2.5000000000         1.3301823480         4.7897257969        -0.1778535923         0.3538603895
        0.4454091000         0.0445409100         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.3578995741
        0.4503801000         0.0450380100         2.5000000000         1.3454963091         4.8024851842         0.2210703531         0.3618939218
        0.4554099000         0.0455409900         2.5000000000         1.3327346748         4.7897257969        -0.1113662681         0.3659355170
        0.4604402000         0.0460440200         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.3699775139
        0.4654272000         0.0465427200         2.5000000000         1.3429439823         4.8050370617         0.1545830288         0.3739847180
        0.4704172000         0.0470417200         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.3779943327
        0.4754099000         0.0475409900         2.5000000000         1.3378393285         4.7948295519         0.0216083804         0.3820061169
        0.4804079000         0.0480407900         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.3860221599
        0.4854944000         0.0485494400         2.5000000000         1.3403916554         4.8024851842         0.0880957046         0.3901093152
        0.4904199000         0.0490419900         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.3940671022
        0.4954232000         0.0495423200         2.5000000000         1.3786765582         4.8024851842         1.0854055680         0.3980874039
        0.5004181000         0.0500418100         2.5000000000         1.3454963091         4.8024851842         0.2210703531         0.4021009559
        0.5054191000         0.0505419100         2.5000000000         1.3352870017         4.7948295519        -0.0448789439         0.4061194094
        0.5104114000         0.0510411400         2.5000000000         1.3352870017         4.7973814293        -0.0448789439         0.4101308722
