% Motor Triangle Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 10.0000 [sec]
% Cycles       = 5
% Duration     = 50.0000 [sec]
% K_lin        = 9.283000 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.336895 [V]
% p_cw         = [-3.197700, 35.875600, -73.405600]
% p_ccw        = [3.168100, 3.851000, -25.925000]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
        0.0000183000         0.0000183000         2.5000000000         1.3557056165         1.1686116826         0.4900115796         0.0001698789
        0.0463603000         0.0463603000         2.5000000000         1.3352870017         1.1635079277        -0.0418870143         0.4303626649
        0.0479699000         0.0479699000         2.5000000000         1.3301823480         1.1558522953        -0.1748616627         0.4453045817
        0.0493224000         0.0493224000         2.5000000000         1.3429439823         1.1686116826         0.1575749584         0.4578598392
        0.0508666000         0.0508666000         2.5000000000         1.3403916554         1.1686116826         0.0910876342         0.4721946478
        0.0522047000         0.0522047000         2.5000000000         1.3378393285         1.1635079277         0.0246003100         0.4846162301
        0.0533658000         0.0533658000         2.5000000000         1.3301823480         1.1558522953        -0.1748616627         0.4953947214
        0.0546475000         0.0546475000         2.7194115582         1.3352870017         1.1609560502        -0.0418870143         0.5072927425
        0.0562386000         0.0562386000         2.7202107534         1.3352870017         1.1584041728        -0.0418870143         0.5220629238
        0.0575823000         0.0575823000         2.7208858540         1.3378393285         1.1609560502         0.0246003100         0.5345364909
        0.0589414000         0.0589414000         2.7215688523         1.3378393285         1.1609560502         0.0246003100         0.5471530162
        0.0603564000         0.0603564000         2.7222801142         1.3352870017         1.1609560502        -0.0418870143         0.5602884612
        0.0619079000         0.0619079000         2.7230601904         1.3429439823         1.1686116826         0.1575749584         0.5746910357
        0.0650173000         0.0650173000         2.7246241956         1.3352870017         1.1609560502        -0.0418870143         0.6035555959
        0.0703845000         0.0703845000         2.7273258543         1.3454963091         1.1635079277         0.2240622826         0.6533793135
        0.0750066000         0.0750066000         2.7296544871         1.3378393285         1.1635079277         0.0246003100         0.6962862678
        0.0800087000         0.0800087000         2.7321766887         1.3378393285         1.1609560502         0.0246003100         0.7427207621
        0.0850054000         0.0850054000         2.7346983766         1.3454963091         1.1686116826         0.2240622826         0.7891051282
        0.0900072000         0.0900072000         2.7372248556         1.3378393285         1.1584041728         0.0246003100         0.8355368376
        0.0950051000         0.0950051000         2.7397515863         1.3301823480         1.1584041728        -0.1748616627         0.8819323433
        0.1000073000         0.1000073000         2.7422827203         1.3378393285         1.1635079277         0.0246003100         0.9283677659
        0.1050055000         0.1050055000         2.7448140640         1.3403916554         1.1609560502         0.0910876342         0.9747660565
        0.1100072000         0.1100072000         2.7473494213         1.3888858657         1.1686116826         1.3543467945         1.0211968376
        0.1150043000         0.1150043000         2.7498846915         1.3608102703         1.1686116826         0.6229862280         1.0675849169
        0.1200066000         0.1200066000         2.7524248531         1.3710195777         1.1737154375         0.8889355249         1.1140212678
        0.1250041000         0.1250041000         2.7549648344         1.3965428462         1.1737154375         1.5538087672         1.1604130603
        0.1300073000         0.1300073000         2.7575099786         1.3761242314         1.1788191925         1.0219101734         1.2068577659
        0.1350064000         0.1350064000         2.7600553075         1.3608102703         1.1762673150         0.6229862280         1.2532644112
        0.1400134000         0.1400134000         2.7626069399         1.3837812120         1.1890267023         1.2213721460         1.2997443922
        0.1450080000         0.1450080000         2.7651545335         1.3710195777         1.1915785797         0.8889355249         1.3461092640
        0.1500083000         0.1500083000         2.7677073222         1.3633625971         1.1890267023         0.6894735522         1.3925270489
        0.1550096000         0.1550096000         2.7702629173         1.3786765582         1.1992342121         1.0883974976         1.4389541168
        0.1600182000         0.1600182000         2.7728245499         1.3735719045         1.2017860896         0.9554228491         1.4854489506
        0.1650082000         0.1650082000         2.7753789720         1.3684672508         1.1966823347         0.8224482007         1.5317711206
        0.1700182000         0.1700182000         2.7779459504         1.3786765582         1.2170973543         1.0883974976         1.5782789506
        0.1750068000         0.1750068000         2.7805042784         1.3735719045         1.2119935994         0.9554228491         1.6245881244
        0.1800160000         0.1800160000         2.7830755007         1.3710195777         1.2145454769         0.8889355249         1.6710885280
        0.1850075000         0.1850075000         2.7856399663         1.3761242314         1.2196492318         1.0219101734         1.7174246225
        0.1900147000         0.1900147000         2.7882148400         1.3735719045         1.2247529867         0.9554228491         1.7639064601
        0.1950082000         0.1950082000         2.7907850111         1.3837812120         1.2298567416         1.2213721460         1.8102611206
        0.2000129000         0.2000129000         2.7933633004         1.3837812120         1.2349604965         1.2213721460         1.8567197507
        0.2050095000         0.2050095000         2.7959397736         1.3786765582         1.2349604965         1.0883974976         1.9031031885
        0.2100066000         0.2100066000         2.7985188665         1.3786765582         1.2400642515         1.0883974976         1.9494912678
        0.2150062000         0.2150062000         2.8011016199         1.3786765582         1.2426161289         1.0883974976         1.9959025546
        0.2200146000         0.2200146000         2.8036913029         1.3786765582         1.2451680064         1.0883974976         2.0423955318
        0.2250102000         0.2250102000         2.8062767506         1.3812288851         1.2502717613         1.1548848218         2.0887696866
        0.2300135000         0.2300135000         2.8088685757         1.3786765582         1.2553755162         1.0883974976         2.1352153205
        0.2350263000         0.2350263000         2.8114677295         1.3837812120         1.2579273937         1.2213721460         2.1817491429
