% Motor Triangle Wave Linearization Verification - Cycle Average
% Period      = 40.0 [sec]
% Cycles used = 5
% Fs          = 200 [Hz]
% N per cycle = 8000

Time[s]              Vcmd_ref_avg[V]      Omega_target_avg[rad/s] Omega_avg[rad/s]    
0.0000000000         0.0000090900         0.0000757479         -0.0059838592       
0.0050000000         0.0033157500         0.0276304763         -0.0325787889       
0.0100000000         0.0043829450         0.0365235190         -0.0059838592       
0.0150000000         0.0054520950         0.0454328528         0.0073136057        
0.0200000000         0.0065224200         0.0543519781         0.0206110705        
0.0250000000         0.0075921050         0.0632657702         0.0605034650        
0.0300000000         0.0086711900         0.0722578934         -0.1256610428       
0.0350000000         0.0097400100         0.0811644773         0.1269907893        
0.0400000000         0.0108246300         0.0902027242         0.1269907893        
0.0450000000         0.0119043100         0.0991998057         0.0339085354        
0.0500000000         0.0129725000         0.1081011397         -0.0857686483       
0.0550000000         0.0140442150         0.1170318480         0.0073136057        
0.0600000000         0.0151141650         0.1259478484         0.0073136057        
0.0650000000         0.0162512150         0.1354229997         -0.0325787889       
0.0700000000         0.0175012550         0.1458397080         -0.0857686483       
0.0750000000         0.0187630550         0.1563544136         0.2466679729        
0.0800000000         0.0200027600         0.1666849994         0.0472060002        
0.0850000000         0.0212510100         0.1770867914         0.1136933244        
0.0900000000         0.0225009700         0.1875028331         -0.0724711834       
0.0950000000         0.0237510150         0.1979195831         0.1136933244        
0.1000000000         0.0250008950         0.2083349581         -0.0059838592       
0.1050000000         0.0262509400         0.2187517081         0.1003958596        
0.1100000000         0.0275013350         0.2291713747         -0.0192813240       
0.1150000000         0.0287510250         0.2395851664         -0.0724711834       
0.1200000000         0.0300011050         0.2500022081         -0.0325787889       
0.1250000000         0.0312602350         0.2604946643         -0.0458762537       
0.1300000000         0.0325010100         0.2708341664         -0.0192813240       
0.1350000000         0.0337512650         0.2812526664         -0.0458762537       
0.1400000000         0.0350013150         0.2916694580         0.0073136057        
0.1450000000         0.0362515400         0.3020877080         -0.0325787889       
0.1500000000         0.0375013650         0.3125026247         -0.0325787889       
0.1550000000         0.0387510800         0.3229166248         -0.0458762537       
0.1600000000         0.0400522600         0.3337594878         -0.0325787889       
0.1650000000         0.0412512550         0.3437508330         0.0605034651        
0.1700000000         0.0425013100         0.3541676664         0.0472060002        
