% Linearization Verification  Step 1/51
% Vcmd_ref    = -2.5000 [V]
% Vc_applied  = 0.5000  [V]
% omega_target= -23.2075  [rad/s]
% omega_meas  = 0.0000  [rad/s]  (last-2s avg)
% error       = 23.2075  [rad/s]
% Vg_offset   = 0.000000  [V]
% K_gimbal    = 26.049690  [(rad/s)/V]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.0000084000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2119665000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2134004000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2148595000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2161762000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2174296000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2187035000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2204758000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2218100000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2233999000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2246951000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2260640000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2273399000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2286881000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2303078000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2318133000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2331502000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2345610000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2358506000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2374151000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2387186000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2400624000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2415794000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2429097000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2445102000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2459017000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2475281000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2494999000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2514434000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2528392000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2544183000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2557897000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2573567000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2586999000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2602768000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2617860000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2631849000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2649420000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2665112000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2679410000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2692602000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.2713930000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
